train/learning_rate,time/episodes,time/total_timesteps,train/n_updates,train/critic_loss,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss
0.001,100,20000,19899,0.5619011521339417,200.0,51,384,-323.55851952000006,20.373332977294922
0.001,104,20800,20699,0.47083887457847595,200.0,52,399,-269.79687257999996,28.94951820373535
0.001,108,21600,21499,0.703645646572113,200.0,52,414,-219.34563792999995,17.65279197692871
0.001,112,22400,22299,0.9908879995346069,200.0,52,429,-183.35845623,27.696069717407227
0.001,116,23200,23099,0.6911548972129822,200.0,52,444,-177.10932032000005,22.936363220214844
0.001,120,24000,23899,0.35242170095443726,200.0,52,459,-165.63197131999996,21.4937744140625
0.001,124,24800,24699,0.5714728236198425,200.0,52,474,-162.23461337000003,19.418411254882812
0.001,128,25600,25499,0.9261351227760315,200.0,52,489,-162.76106412,16.863910675048828
0.001,132,26400,26299,0.5038098692893982,200.0,52,504,-165.14583642000002,25.14470672607422
0.001,136,27200,27099,0.34000134468078613,200.0,52,519,-166.24510974,15.744315147399902
0.001,140,28000,27899,1.3251793384552002,200.0,52,534,-161.76909523,17.188968658447266
0.001,144,28800,28699,0.5733669996261597,200.0,52,549,-162.03684328,19.170120239257812
0.001,148,29600,29499,0.8490101099014282,200.0,52,564,-161.44520539999996,9.436104774475098
0.001,152,30400,30299,0.5514616966247559,200.0,52,579,-162.99552674,13.366809844970703
0.001,156,31200,31099,0.7648555636405945,200.0,52,594,-163.21225171,17.27349853515625
0.001,160,32000,31899,0.9628379940986633,200.0,52,609,-162.23814284999997,10.909539222717285
0.001,164,32800,32699,1.681599736213684,200.0,52,625,-162.95783388,15.188338279724121
0.001,168,33600,33499,0.45303964614868164,200.0,52,640,-159.71732677000003,7.993725776672363
0.001,172,34400,34299,0.5412135124206543,200.0,52,655,-160.95786769,9.94243049621582
0.001,176,35200,35099,0.7948282957077026,200.0,52,670,-158.92939761,8.930438041687012
0.001,180,36000,35899,1.6867035627365112,200.0,52,685,-159.98370742,8.644205093383789
0.001,184,36800,36699,0.19744554162025452,200.0,52,700,-160.11638305999998,11.07693862915039
0.001,188,37600,37499,0.7091645002365112,200.0,52,715,-155.58972955999997,10.61998176574707
0.001,192,38400,38299,0.5893450975418091,200.0,52,730,-155.68027357,5.139762878417969
0.001,196,39200,39099,0.48339709639549255,200.0,52,746,-155.6386712,6.422859191894531
0.001,200,40000,39899,1.6853418350219727,200.0,52,761,-150.58705062,4.267467975616455
0.001,204,40800,40699,1.1522361040115356,200.0,52,776,-146.92684618,9.90977954864502
0.001,208,41600,41499,0.3143511712551117,200.0,52,791,-147.90358976000002,2.998068332672119
0.001,212,42400,42299,0.22131559252738953,200.0,52,806,-147.79614973,7.760936737060547
0.001,216,43200,43099,0.7778152823448181,200.0,52,822,-147.78179053000002,6.614602088928223
0.001,220,44000,43899,0.437259316444397,200.0,52,837,-144.16997193,4.532441139221191
0.001,224,44800,44699,1.0196911096572876,200.0,52,853,-145.27312978000003,8.957348823547363
0.001,228,45600,45499,0.4104689061641693,200.0,52,868,-145.05911893,5.10396146774292
0.001,232,46400,46299,0.7478531002998352,200.0,52,884,-144.6556835,10.5955228805542
0.001,236,47200,47099,0.2678443193435669,200.0,52,899,-142.34079854,3.376646041870117
0.001,240,48000,47899,0.3554532527923584,200.0,52,915,-144.59885108999998,4.244419097900391
0.001,244,48800,48699,0.2569418251514435,200.0,52,931,-143.25823843,2.485628128051758
0.001,248,49600,49499,0.598869264125824,200.0,52,946,-142.96957553000001,6.173730373382568
0.001,252,50400,50299,0.8990163803100586,200.0,52,962,-141.66589638000002,11.009363174438477
0.001,256,51200,51099,1.07691490650177,200.0,52,978,-142.91549440999998,6.834033012390137
0.001,260,52000,51899,0.5887235403060913,200.0,52,994,-145.36755891,8.103121757507324
0.001,264,52800,52699,0.8013768196105957,200.0,52,1010,-146.45107747,6.234257698059082
0.001,268,53600,53499,0.17841488122940063,200.0,52,1026,-145.90962319,4.825700283050537
0.001,272,54400,54299,0.15885990858078003,200.0,52,1042,-148.33713996000003,4.732235431671143
0.001,276,55200,55099,0.3620232343673706,200.0,52,1058,-148.43320318999997,6.348485469818115
