time/fps,train/n_updates,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,train/learning_rate
49,71099,1450,356,-144.72207501000003,-9.971309661865234,200.0,0.7815505266189575,71200,0.001
48,71899,1469,360,-144.70106001,-14.500636100769043,200.0,1.1026229858398438,72000,0.001
48,72699,1489,364,-142.22080838000002,-17.333953857421875,200.0,0.6931600570678711,72800,0.001
48,73499,1509,368,-145.83717462,-11.539745330810547,200.0,1.0570111274719238,73600,0.001
48,74299,1530,372,-147.06702111,-15.71602725982666,200.0,1.750756025314331,74400,0.001
48,75099,1550,376,-150.51904254999997,-18.109691619873047,200.0,0.9909899234771729,75200,0.001
48,75899,1571,380,-153.90199751,-13.882465362548828,200.0,1.0224740505218506,76000,0.001
48,76699,1592,384,-154.99411267000002,-9.897674560546875,200.0,0.8246120810508728,76800,0.001
48,77499,1613,388,-153.58866067,-11.996576309204102,200.0,1.0168012380599976,77600,0.001
47,78299,1634,392,-153.32697315000001,-12.568202018737793,200.0,1.2332783937454224,78400,0.001
47,79099,1656,396,-152.18373665,-14.398658752441406,200.0,1.1608201265335083,79200,0.001
47,79899,1677,400,-152.02887771999997,-12.410332679748535,200.0,1.0462254285812378,80000,0.001
47,80699,1698,404,-155.70359629,-14.188285827636719,200.0,0.44160905480384827,80800,0.001
47,81499,1720,408,-160.59294089999997,-12.106985092163086,200.0,1.2606828212738037,81600,0.001
47,82299,1741,412,-162.64526093000003,-17.562347412109375,200.0,0.6801461577415466,82400,0.001
47,83099,1763,416,-161.99137719,-15.111818313598633,200.0,0.725905179977417,83200,0.001
47,83899,1784,420,-164.22986515,-17.21338653564453,200.0,0.9420756697654724,84000,0.001
46,84699,1806,424,-163.03124413,-8.023801803588867,200.0,1.007049798965454,84800,0.001
46,85499,1828,428,-161.38488882000004,-9.488714218139648,200.0,0.8630748987197876,85600,0.001
46,86299,1849,432,-164.54378526,-7.368242263793945,200.0,0.6013182401657104,86400,0.001
46,87099,1871,436,-164.53974742999998,-14.39434814453125,200.0,0.6550605297088623,87200,0.001
46,87899,1893,440,-167.81935042,-2.109773874282837,200.0,1.4435532093048096,88000,0.001
46,88699,1914,444,-169.95980352000004,-6.082707405090332,200.0,0.6164177656173706,88800,0.001
46,89499,1936,448,-168.56007722000007,-13.779987335205078,200.0,0.8467074036598206,89600,0.001
