rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_fraction,train/entropy_loss,train/approx_kl,train/std,train/clip_range,train/n_updates,train/explained_variance
-1068.97661087,577,75776,37,131,200.0,0.0003,-0.00740704414783977,2702.4787769317627,1212.00732421875,0.069091796875,-1.3837496861815453,0.0070924284,0.9512047171592712,0.2,360,5.304813385009766e-06
-1081.02293745,576,77824,38,134,200.0,0.0003,-0.0014224532991647721,3266.3081489562987,1297.9088134765625,0.014892578125,-1.3672126732766627,0.003594549,0.9470329284667969,0.2,370,3.874301910400391e-06
-1063.69104507,578,79872,39,138,200.0,0.0003,-0.0022468229086371138,3959.6126747131348,1974.2711181640625,0.019287109375,-1.3581175286322833,0.002965736,0.9355493783950806,0.2,380,4.410743713378906e-06
-1082.20601309,580,81920,40,141,200.0,0.0003,-0.003155788910225965,1965.4125885009767,911.9002075195312,0.036767578125,-1.363850550353527,0.0050628236,0.9561533331871033,0.2,390,5.125999450683594e-06
-1087.2000593399998,582,83968,41,144,200.0,0.0003,-0.0022625667676038574,3080.782662963867,1562.1363525390625,0.02421875,-1.3837513245642186,0.003273259,0.9734438061714172,0.2,400,4.0531158447265625e-06
-1101.03928658,583,86016,42,147,200.0,0.0003,-0.0012498267024056986,2576.7659717559814,1152.7890625,0.017138671875,-1.407665342837572,0.0027669463,1.0025920867919922,0.2,410,5.185604095458984e-06
-1108.0337633,585,88064,43,150,200.0,0.0003,-0.004056951781967655,2272.9067180633547,1110.5252685546875,0.037646484375,-1.4090286377817391,0.004430456,0.9796167016029358,0.2,420,3.4570693969726562e-06
-1107.56477945,586,90112,44,153,200.0,0.0003,-0.001417877477069851,2499.557460784912,881.7239379882812,0.021484375,-1.3993194434791802,0.002135007,0.9828775525093079,0.2,430,2.6226043701171875e-06
-1118.86406764,588,92160,45,156,200.0,0.0003,-0.0012389484902087134,1939.0408264160155,744.64501953125,0.040625,-1.396950675919652,0.006761388,0.9735162258148193,0.2,440,3.3974647521972656e-06
-1120.17167788,589,94208,46,159,200.0,0.0003,-0.0011938073759665713,1981.4621746063233,804.1303100585938,0.0197265625,-1.3921130206435919,0.0031672767,0.9753274321556091,0.2,450,3.2186508178710938e-06
-1105.60891423,590,96256,47,163,200.0,0.0003,-0.0019050996896112337,2420.0313362121583,1105.9542236328125,0.023876953125,-1.3955971039831638,0.003300665,0.9798966646194458,0.2,460,1.7285346984863281e-06
-1102.3466627300002,591,98304,48,166,200.0,0.0003,-0.004015112326305826,1252.060802268982,541.2916870117188,0.052685546875,-1.3955295734107493,0.004927265,0.9729245901107788,0.2,470,2.86102294921875e-06
-1125.1267764899997,592,100352,49,169,200.0,0.0003,-0.001157089279149659,2304.9900623321532,1002.2732543945312,0.022021484375,-1.390838085114956,0.001508178,0.9722155928611755,0.2,480,2.8014183044433594e-06
-1132.55260526,590,102400,50,173,200.0,0.0003,-0.002244007686385885,2521.6002853393557,1279.0968017578125,0.025732421875,-1.3795306354761123,0.0034847984,0.9528274536132812,0.2,490,8.940696716308594e-07
-1110.9302410999999,590,104448,51,177,200.0,0.0003,-0.00042038305546157064,2180.9020332336427,959.9505615234375,0.003564453125,-1.3668025482445956,0.0021588376,0.9444273114204407,0.2,500,2.682209014892578e-06
