time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/entropy_loss,train/std,train/loss,train/clip_range,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/explained_variance
669,-1072.0415864299998,73728,200.0,110,36,-1.3610303830355406,0.9506086111068726,949.002685546875,0.2,0.006776321,0.06806640625,350,-0.006076090165879578,0.0003,2061.9147567749023,6.735324859619141e-06
669,-1083.58577322,75776,200.0,113,37,-1.3606131184846162,0.9379571080207825,1163.44091796875,0.2,0.00067889376,0.001171875,360,0.00034190889491583223,0.0003,2740.2946044921873,5.543231964111328e-06
669,-1087.26478813,77824,200.0,116,38,-1.3612587448209523,0.9529975056648254,1369.9185791015625,0.2,0.0028249773,0.02099609375,370,-0.0018405497226922306,0.0003,2935.2132362365724,4.291534423828125e-06
668,-1071.97135699,79872,200.0,119,39,-1.3667166531085968,0.9439244270324707,1396.34814453125,0.2,0.0006638272,0.011767578125,380,-0.0008904991009330843,0.0003,2955.3151893615723,4.291534423828125e-06
668,-1069.72867605,81920,200.0,122,40,-1.3596707858145236,0.9416813850402832,683.7353515625,0.2,0.0011488341,0.016552734375,390,-0.00012312199833104388,0.0003,1714.5582599639893,4.589557647705078e-06
668,-1066.27660973,83968,200.0,125,41,-1.3562512788921595,0.936419665813446,1072.445068359375,0.2,0.0030461354,0.01787109375,400,-0.0014714971111970954,0.0003,2404.4255405426024,3.6954879760742188e-06
668,-1063.62213038,86016,200.0,128,42,-1.3418590411543847,0.9181849360466003,902.9738159179688,0.2,0.003296801,0.01796875,410,-0.0017934270625119097,0.0003,2063.129954147339,3.039836883544922e-06
668,-1056.54063698,88064,200.0,131,43,-1.3332640469074248,0.9155781865119934,688.8579711914062,0.2,0.0038417724,0.0255859375,420,-0.0018092246100422926,0.0003,1446.7006214141845,2.86102294921875e-06
668,-1056.82769353,90112,200.0,134,44,-1.3300613656640052,0.9131664633750916,798.4931640625,0.2,0.002094646,0.011083984375,430,-0.0007608677595271728,0.0003,1708.0207752227784,2.7418136596679688e-06
668,-1066.36845199,92160,200.0,137,45,-1.3129539240151644,0.8897099494934082,573.5343017578125,0.2,0.0041364077,0.02607421875,440,-0.0021781846357043833,0.0003,1555.1033626556396,2.4437904357910156e-06
667,-1049.1548963799999,94208,200.0,141,46,-1.3027027562260627,0.8940027952194214,640.394287109375,0.2,0.004686808,0.043701171875,450,-0.0038785733704571612,0.0003,1800.0152225494385,2.205371856689453e-06
667,-1035.7195536699999,96256,200.0,144,47,-1.300661263987422,0.8845198750495911,585.9091186523438,0.2,0.005694349,0.032958984375,460,-0.0021302272885804995,0.0003,1401.4705839157104,1.8477439880371094e-06
667,-1026.2392513,98304,200.0,147,48,-1.296434962004423,0.886745274066925,783.3616333007812,0.2,0.0038945887,0.04716796875,470,-0.003105262789176777,0.0003,1447.3191608428956,1.7285346984863281e-06
667,-1027.3072016400004,100352,200.0,150,49,-1.2892847992479801,0.8697524666786194,386.3260498046875,0.2,0.0043500266,0.02880859375,480,-0.0017387255444191395,0.0003,1196.7229555130004,1.5497207641601562e-06
667,-1010.65404618,102400,200.0,153,50,-1.2934402443468571,0.8951823711395264,524.8956909179688,0.2,0.0056100395,0.054150390625,490,-0.00482018160255393,0.0003,1111.6311777114868,1.3709068298339844e-06
666,-1009.0874721099999,104448,200.0,156,51,-1.3169869571924209,0.9129331707954407,442.14398193359375,0.2,0.004132667,0.03046875,500,-0.0025266102646128276,0.0003,938.498221206665,1.3113021850585938e-06
666,-1007.1173829699998,106496,200.0,159,52,-1.3340894728899002,0.9250490665435791,606.3250732421875,0.2,0.0065584746,0.05791015625,510,-0.0036558288673404606,0.0003,1146.8825944900514,9.5367431640625e-07
666,-992.4807536700001,108544,200.0,162,53,-1.3399033252149821,0.9210688471794128,480.41754150390625,0.2,0.0025596274,0.0197265625,520,-0.0011650923639535903,0.0003,1143.0825841903686,1.0132789611816406e-06
666,-1000.19603614,110592,200.0,165,54,-1.3405265320092439,0.9268838167190552,303.16375732421875,0.2,0.0034732157,0.037841796875,530,-0.0006933045879122801,0.0003,811.5686981201172,1.0132789611816406e-06
666,-1007.54460038,112640,200.0,168,55,-1.3374529406428337,0.9163864850997925,618.3792114257812,0.2,0.0041886903,0.02939453125,540,-0.002210217227548128,0.0003,1686.5752388000487,4.76837158203125e-07
665,-1009.1323699499999,114688,200.0,172,56,-1.3234215538948775,0.9036795496940613,446.0803527832031,0.2,0.0044317283,0.041552734375,550,-0.003320360102225095,0.0003,1121.7537687301635,1.0132789611816406e-06
660,-1018.0551401600001,116736,200.0,176,57,-1.2926282923668624,0.8640527129173279,529.1148681640625,0.2,0.007356305,0.040673828125,560,-0.0040423444384941835,0.0003,976.0951488494873,1.0132789611816406e-06
658,-1012.70759752,118784,200.0,180,58,-1.267666532099247,0.8562915921211243,532.526123046875,0.2,0.003139649,0.0212890625,570,-0.0014069101904169655,0.0003,1223.8339235305787,7.152557373046875e-07
657,-1017.6981763500002,120832,200.0,183,59,-1.2768384594470263,0.8798516988754272,428.2252197265625,0.2,0.0050755832,0.0353515625,580,-0.002063599410757888,0.0003,803.4665613174438,1.0728836059570312e-06
656,-1021.46655668,122880,200.0,187,60,-1.2787739414721728,0.8593855500221252,378.1663513183594,0.2,0.005520455,0.059521484375,590,-0.005564941114425892,0.0003,775.622642993927,1.0132789611816406e-06
656,-1018.3968325599999,124928,200.0,190,61,-1.2645233504474163,0.8574510216712952,412.9014587402344,0.2,0.005310827,0.0521484375,600,-0.003123257689003367,0.0003,846.5055982589722,1.0132789611816406e-06
656,-1013.30368089,126976,200.0,193,62,-1.2613728009164333,0.8478714823722839,380.5799255371094,0.2,0.0046223495,0.039501953125,610,-9.808517788769677e-05,0.0003,749.6112776756287,1.1324882507324219e-06
656,-1010.89573243,129024,200.0,196,63,-1.2507717549800872,0.8431276679039001,279.97607421875,0.2,0.008927901,0.15849609375,620,0.0068036109791137275,0.0003,591.1207328796387,1.1920928955078125e-06
656,-983.07990809,131072,200.0,199,64,-1.250496357306838,0.8464598655700684,351.31005859375,0.2,0.0022019544,0.010595703125,630,-0.0009827273453993258,0.0003,688.1751974105835,0.01616436243057251
656,-975.5811784399999,133120,200.0,202,65,-1.2524315431714057,0.8474146723747253,300.9686584472656,0.2,0.0029841845,0.022998046875,640,-0.002846901217708364,0.0003,628.0724402427674,0.11532241106033325
656,-959.9334656899998,135168,200.0,205,66,-1.2546514574438334,0.8495475649833679,283.3048095703125,0.2,0.0039691795,0.032763671875,650,-0.002401411926257424,0.0003,706.0590311050415,0.2803381085395813
656,-953.8346480300002,137216,200.0,208,67,-1.257274804636836,0.8519321084022522,204.97776794433594,0.2,0.0025871322,0.00634765625,660,-0.0028013108327286317,0.0003,383.0922595977783,0.42187273502349854
656,-949.6354967599999,139264,200.0,211,68,-1.2567292675375938,0.8471563458442688,153.663818359375,0.2,0.002744501,0.019287109375,670,-0.0033611227248911747,0.0003,484.927357673645,0.5327255129814148
657,-942.69794104,141312,200.0,215,69,-1.2506990533322095,0.8438296914100647,170.87786865234375,0.2,0.0033461032,0.033837890625,680,-0.003252513361803722,0.0003,344.7559181690216,0.6069835722446442
657,-945.8810234800002,143360,200.0,218,70,-1.2501079365611076,0.8455272912979126,40.893104553222656,0.2,0.003246002,0.018212890625,690,-0.0021468173901666885,0.0003,170.82317860126494,0.5750947594642639
657,-950.7504302299998,145408,200.0,221,71,-1.252888823673129,0.8486514687538147,218.39356994628906,0.2,0.0057079876,0.040185546875,700,-0.003169700637226924,0.0003,466.40552139282227,0.5166210234165192
657,-956.1909386099999,147456,200.0,224,72,-1.250306436046958,0.8400223851203918,226.39308166503906,0.2,0.0042992802,0.0283203125,710,-0.0031058835811563767,0.0003,399.0321698188782,0.5799875557422638
657,-949.6361883800001,149504,200.0,227,73,-1.2416585445404054,0.8342300057411194,108.1472396850586,0.2,0.0054668365,0.040380859375,720,-0.003600637847557664,0.0003,259.2895277261734,0.6719632744789124
657,-952.2998844900001,151552,200.0,230,74,-1.2368309620767832,0.8308005928993225,100.44839477539062,0.2,0.003029773,0.0158203125,730,-0.0019197799658286386,0.0003,211.7022094488144,0.6797482371330261
657,-940.2823988599998,153600,200.0,233,75,-1.2339618545025588,0.8299344182014465,153.21331787109375,0.2,0.0045436225,0.024609375,740,-0.001538634680036921,0.0003,313.1096788883209,0.7127702236175537
657,-938.38763574,155648,200.0,236,76,-1.235384474694729,0.8346002697944641,109.38733673095703,0.2,0.00268994,0.020556640625,750,-0.001432096986536635,0.0003,176.7152463197708,0.5853425562381744
657,-932.0530859599999,157696,200.0,239,77,-1.2348384913057089,0.8289598822593689,205.42681884765625,0.2,0.0042686495,0.041650390625,760,-0.004082202177960426,0.0003,408.8906910419464,0.6910852789878845
657,-927.9389014599999,159744,200.0,242,78,-1.2309238489717245,0.8278993368148804,107.68185424804688,0.2,0.002496079,0.016552734375,770,-0.0016492580165504479,0.0003,275.2456621646881,0.7694168239831924
657,-924.2382847700002,161792,200.0,246,79,-1.2273276209831239,0.8237486481666565,156.47647094726562,0.2,0.0047744634,0.037646484375,780,-0.0036798538087168707,0.0003,261.8086672782898,0.7690655738115311
657,-907.7479364400002,163840,200.0,249,80,-1.2227227572351693,0.8202924728393555,121.6572494506836,0.2,0.0059014903,0.044677734375,790,-0.004508499398070853,0.0003,267.54735975265504,0.7875637859106064
657,-904.20950589,165888,200.0,252,81,-1.2242780476808548,0.8249258995056152,140.23020935058594,0.2,0.0048688045,0.051904296875,800,-0.0037318221016903407,0.0003,320.42247052192687,0.7072015106678009
657,-906.1771996,167936,200.0,255,82,-1.2265293780714273,0.8252865672111511,178.215576171875,0.2,0.004188244,0.042236328125,810,-0.004250438448798377,0.0003,345.52338733673093,0.8242594450712204
657,-909.9559027,169984,200.0,258,83,-1.2299964491277933,0.8303590416908264,167.4051971435547,0.2,0.0061327713,0.066162109375,820,-0.007330224521865603,0.0003,341.3219256401062,0.7599569708108902
657,-911.9150623099999,172032,200.0,261,84,-1.2269220728427173,0.8207042813301086,144.8732452392578,0.2,0.003957918,0.031298828125,830,-0.0022605839862080757,0.0003,337.5588843822479,0.7845385521650314
657,-909.8116157100001,174080,200.0,264,85,-1.2179662872105836,0.8144906759262085,126.43113708496094,0.2,0.004644693,0.052978515625,840,-0.003221300689619966,0.0003,356.1872059345245,0.8200965523719788
657,-913.08314059,176128,200.0,267,86,-1.2152044862508773,0.8166346549987793,138.9160919189453,0.2,0.0048742993,0.035107421875,850,-0.004157365916034906,0.0003,269.7242231845856,0.8352074772119522
658,-903.46699492,178176,200.0,270,87,-1.2108772099018097,0.810100793838501,196.7879180908203,0.2,0.00368725,0.0265625,860,-0.0030240576284995767,0.0003,316.66351289749144,0.8610380291938782
