rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,train/value_loss,train/n_updates,train/explained_variance,train/learning_rate,train/clip_fraction,train/std,train/clip_range,train/loss,train/approx_kl,train/policy_gradient_loss,train/entropy_loss
-1056.2670777399999,678,200.0,73728,108,36,3008.446932601929,350,6.496906280517578e-06,0.0003,0.043798828125,0.8863275051116943,0.2,1413.5030517578125,0.004627013,-0.0018887430123868398,-1.2966750662773847
-1057.34788302,677,200.0,75776,111,37,1769.0769733428956,360,7.3909759521484375e-06,0.0003,0.033837890625,0.8967118263244629,0.2,783.4746704101562,0.0031060954,-0.0010295089290593752,-1.3065737124532462
-1053.13246036,677,200.0,77824,114,38,2828.193412399292,370,6.079673767089844e-06,0.0003,0.0189453125,0.8863453269004822,0.2,982.3521118164062,0.003483197,-0.0023136906514992007,-1.3034707486629487
-1043.28760724,677,200.0,79872,117,39,2307.785139846802,380,5.662441253662109e-06,0.0003,0.010302734375,0.8856419324874878,0.2,1087.1048583984375,0.0014371752,3.639205533545464e-06,-1.2983367942273616
-1046.8868304899997,677,200.0,81920,120,40,2312.3794593811035,390,4.827976226806641e-06,0.0003,0.04111328125,0.8628727197647095,0.2,879.1007690429688,0.0056213997,-0.004695293425902492,-1.284270155057311
-1049.79217835,676,200.0,83968,124,41,2004.786403274536,400,5.0067901611328125e-06,0.0003,0.045703125,0.8521451950073242,0.2,950.0497436523438,0.004628148,-0.0033606224518734963,-1.2638074241578579
-1045.04264368,676,200.0,86016,127,42,1910.7716957092284,410,4.291534423828125e-06,0.0003,0.02919921875,0.8563134074211121,0.2,681.5009155273438,0.0035429867,-0.002117804455338046,-1.2603943713009358
-1053.37798187,676,200.0,88064,130,43,2033.2926170349122,420,3.933906555175781e-06,0.0003,0.049072265625,0.8396031856536865,0.2,758.4427490234375,0.0058607263,-0.0027663653672789223,-1.2538435578346252
-1056.1111401499998,676,200.0,90112,133,44,1917.0453742980958,430,2.7418136596679688e-06,0.0003,0.062548828125,0.8414544463157654,0.2,1031.0029296875,0.0060841064,-0.0029715712043980602,-1.2445502527058125
-1045.69286698,676,200.0,92160,136,45,1810.563883972168,440,2.9206275939941406e-06,0.0003,0.031396484375,0.8520923256874084,0.2,800.5687866210938,0.0035650376,-0.002823737674043514,-1.2529682368040085
-1056.31518823,676,200.0,94208,139,46,1424.77208442688,450,2.4437904357910156e-06,0.0003,0.0376953125,0.8643475770950317,0.2,585.9030151367188,0.0031654872,-0.0018284804333234205,-1.2657263182103633
-1061.51209311,676,200.0,96256,142,47,1889.5490165710448,460,1.430511474609375e-06,0.0003,0.026171875,0.8504390120506287,0.2,912.5430297851562,0.0035198305,-0.0011469834425952286,-1.264541071653366
-1042.95544174,676,200.0,98304,145,48,1513.1143920898437,470,2.0265579223632812e-06,0.0003,0.056298828125,0.850742757320404,0.2,639.3368530273438,0.00660879,-0.003089150402229279,-1.2578429218381644
-1036.7548646899997,675,200.0,100352,148,49,1197.978442955017,480,1.430511474609375e-06,0.0003,0.047216796875,0.8373362421989441,0.2,538.0560302734375,0.004188464,-0.00020088219607714564,-1.2492957051843405
-1035.32546963,675,200.0,102400,151,50,1516.1992643356323,490,1.1920928955078125e-06,0.0003,0.034375,0.8437173366546631,0.2,721.618408203125,0.0030058613,-0.0015866027606534772,-1.2460584551095963
-1031.1492847200002,675,200.0,104448,154,51,1567.3938989639282,500,1.3113021850585938e-06,0.0003,0.0439453125,0.828970730304718,0.2,659.2232666015625,0.00529282,-0.0038482528223539704,-1.2393460720777512
-1029.97268293,674,200.0,106496,157,52,1237.5179662704468,510,1.0132789611816406e-06,0.0003,0.0505859375,0.8184444308280945,0.2,473.4284973144531,0.005841923,-0.0015946206040098332,-1.22421594299376
-1026.27613744,674,200.0,108544,160,53,1268.7562824249267,520,1.1920928955078125e-06,0.0003,0.0208984375,0.8111163377761841,0.2,686.2044067382812,0.0035293344,0.0002613235468743369,-1.2129298068583012
-1019.2605822799998,674,200.0,110592,163,54,1105.4475692749024,530,1.2516975402832031e-06,0.0003,0.0685546875,0.8038733005523682,0.2,518.591064453125,0.007229622,-0.00413824863935588,-1.202361311390996
-1023.3932947799999,674,200.0,112640,166,55,1322.4974981307982,540,1.3113021850585938e-06,0.0003,0.04111328125,0.8011685609817505,0.2,728.8360595703125,0.0029935553,-0.0013065753111732193,-1.1981244128197432
-1009.63327338,674,200.0,114688,170,56,1455.7485673904418,550,1.0728836059570312e-06,0.0003,0.012744140625,0.8096455931663513,0.2,734.340087890625,0.002167871,0.0003732849450898357,-1.200993499904871
-1006.09648104,674,200.0,116736,173,57,1165.165560913086,560,1.5497207641601562e-06,0.0003,0.026904296875,0.7918457388877869,0.2,518.2575073242188,0.0029389793,-0.000400427093518374,-1.1962683405727148
-1013.42168741,674,200.0,118784,176,58,1187.6086074829102,570,2.0265579223632812e-06,0.0003,0.05087890625,0.7991917133331299,0.2,519.4254760742188,0.0032627345,0.00020551604029606096,-1.188490852713585
-1000.9784407900001,674,200.0,120832,179,59,1204.518611717224,580,4.231929779052734e-06,0.0003,0.052392578125,0.799737811088562,0.2,622.8253173828125,0.0045544654,-0.001817801127617713,-1.1966195408254863
-1000.38425652,674,200.0,122880,182,60,979.1962638854981,590,9.298324584960938e-06,0.0003,0.07275390625,0.7911618947982788,0.2,469.6622314453125,0.0049079433,-0.0032508291042177007,-1.1871586449444294
-1000.08204137,674,200.0,124928,185,61,805.0953324317932,600,0.158749520778656,0.0003,0.052587890625,0.7888519763946533,0.2,336.8283996582031,0.005461401,-0.003082714781339746,-1.1830422677099706
-1012.6718029700002,674,200.0,126976,188,62,1220.9451803207398,610,0.33219051361083984,0.0003,0.033984375,0.7845759391784668,0.2,441.32745361328125,0.004794576,-0.004172526714683045,-1.179592787474394
-1005.86045159,674,200.0,129024,191,63,1367.9399253845215,620,0.4560341238975525,0.0003,0.015234375,0.7870402336120605,0.2,521.1232299804688,0.001878099,-0.0015424535711645148,-1.1777689628303052
-1012.82073479,674,200.0,131072,194,64,725.5148032188415,630,0.4573436975479126,0.0003,0.02822265625,0.7658690810203552,0.2,311.4420471191406,0.0034583858,-0.0018929263824247755,-1.1649818141013384
-1023.2774742200002,673,200.0,133120,197,65,1353.205620765686,640,0.5154959857463837,0.0003,0.048193359375,0.7617243528366089,0.2,610.019775390625,0.0044927318,-0.005172221282555256,-1.1496037777513266
-1036.46119055,673,200.0,135168,200,66,788.8887756347656,650,0.7011057436466217,0.0003,0.032421875,0.7408822774887085,0.2,360.4850769042969,0.0043731863,-0.0012590553720656316,-1.1341690238565207
-1023.22423433,673,200.0,137216,203,67,1241.1018463134765,660,0.6123233735561371,0.0003,0.040087890625,0.7407139539718628,0.2,727.9234008789062,0.0041723773,-0.0021417158437543548,-1.1194419473409654
-1011.4689031,673,200.0,139264,206,68,452.47262506484986,670,0.5123209953308105,0.0003,0.053076171875,0.7463334798812866,0.2,189.89183044433594,0.005481983,-0.0031042095113662073,-1.1231595415621995
-1009.1241853900002,673,200.0,141312,209,69,530.2060984611511,680,0.6726043820381165,0.0003,0.0310546875,0.7441186308860779,0.2,221.32318115234375,0.003931149,-0.0019122528610751033,-1.1248890694230795
-1011.0435127499998,673,200.0,143360,212,70,716.7742156028747,690,0.6860525012016296,0.0003,0.045654296875,0.7470484375953674,0.2,334.132080078125,0.004395272,-0.0021316851787560155,-1.1265852972865105
-996.2538301999999,673,200.0,145408,215,71,434.871364402771,700,0.7884944528341293,0.0003,0.027734375,0.7534156441688538,0.2,212.38504028320312,0.0036841782,-0.0019666656444314867,-1.1323999259620905
-992.85858212,673,200.0,147456,218,72,448.32957463264466,710,0.6854453682899475,0.0003,0.053076171875,0.7686738967895508,0.2,233.46548461914062,0.0049650716,-0.004287174728233367,-1.1449105061590672
-990.1714044500001,673,200.0,149504,222,73,849.6397417068481,720,0.7134762704372406,0.0003,0.031103515625,0.7719792723655701,0.2,409.1007385253906,0.0036963318,-0.0028888901462778447,-1.1582853805273772
-967.6361782000001,673,200.0,151552,225,74,498.24928946495055,730,0.6864818036556244,0.0003,0.04248046875,0.7614451050758362,0.2,247.09835815429688,0.005026288,-0.004402909315103898,-1.1539165250957013
-953.0453607199998,673,200.0,153600,228,75,634.5294798851013,740,0.6734023094177246,0.0003,0.046142578125,0.7553315162658691,0.2,224.0883026123047,0.004905115,-0.004816306245629676,-1.1424060434103012
-943.8186495100001,673,200.0,155648,231,76,561.8601581573487,750,0.7320821285247803,0.0003,0.05625,0.7303664088249207,0.2,271.0804748535156,0.0065793665,-0.0028695863162283785,-1.1208571996539831
-962.2878999400001,673,200.0,157696,234,77,936.6953603744507,760,0.7674915194511414,0.0003,0.03662109375,0.7077904939651489,0.2,477.84295654296875,0.004112631,-0.0018188225410995073,-1.088733322173357
-995.86502609,673,200.0,159744,237,78,562.6874804496765,770,0.8365265876054764,0.0003,0.056494140625,0.7019621729850769,0.2,212.56875610351562,0.0035977657,-0.004518392833415419,-1.0673368837684394
-984.99630079,673,200.0,161792,240,79,422.78812470436094,780,0.8544030785560608,0.0003,0.052197265625,0.6859838962554932,0.2,164.948974609375,0.0047716303,-0.0032903421073569917,-1.0541774496436118
-995.6760282299999,673,200.0,163840,243,80,589.6123546600342,790,0.8225760906934738,0.0003,0.02138671875,0.675382673740387,0.2,248.28985595703125,0.0036905566,-0.00025282523492933253,-1.0353645402938128
-1000.0074124100001,672,200.0,165888,246,81,496.6363747596741,800,0.8743434250354767,0.0003,0.050634765625,0.6613256931304932,0.2,189.7659454345703,0.0053907586,-0.0035332183353602884,-1.0153214704245328
-997.0741211200001,672,200.0,167936,249,82,359.1945152282715,810,0.8603430539369583,0.0003,0.04482421875,0.6494539380073547,0.2,78.33624267578125,0.0075400104,-0.0028001274695270695,-0.9945292072370648
-1014.70917107,672,200.0,169984,252,83,528.5972013473511,820,0.8076981008052826,0.0003,0.031787109375,0.6449198126792908,0.2,166.31088256835938,0.0058473125,-0.0019684369617607445,-0.9850220480933786
-1009.13274388,672,200.0,172032,255,84,482.85394196510316,830,0.8506889492273331,0.0003,0.0482421875,0.637008786201477,0.2,255.26820373535156,0.0041859867,-0.0026915265247225762,-0.9745729498565197
-994.7968810699999,672,200.0,174080,258,85,373.1361397266388,840,0.7151572406291962,0.0003,0.09248046875,0.6259310841560364,0.2,145.5063934326172,0.008632474,-0.007612402088125236,-0.9586996791884304
-990.57740138,672,200.0,176128,261,86,654.1571941375732,850,0.8229439407587051,0.0003,0.06357421875,0.6184375882148743,0.2,377.95086669921875,0.0056331996,-0.0045056190007017,-0.9442610083147883
-964.1795318799999,672,200.0,178176,264,87,483.7271647453308,860,0.8306268155574799,0.0003,0.050390625,0.6191909909248352,0.2,259.4485778808594,0.0034733145,-0.0025310803350294007,-0.9382866520434618
-933.2287758999998,672,200.0,180224,267,88,498.223849773407,870,0.8496324568986893,0.0003,0.049462890625,0.6135079860687256,0.2,350.70379638671875,0.0048794094,-0.003897237274213694,-0.9335793007165194
-930.2460076699999,672,200.0,182272,271,89,557.5128887653351,880,0.8846711441874504,0.0003,0.049267578125,0.6128625869750977,0.2,227.82937622070312,0.0047449563,-0.0035849591295118444,-0.9282522091642023
-901.3505476099998,672,200.0,184320,274,90,554.2240732192993,890,0.908746987581253,0.0003,0.051025390625,0.6071757674217224,0.2,171.419189453125,0.005773931,-0.003840853209840134,-0.9253292594105005
-859.31986314,672,200.0,186368,277,91,492.10152978897094,900,0.9311289191246033,0.0003,0.088037109375,0.6075312495231628,0.2,203.3822784423828,0.0065539433,-0.009392385903629475,-0.9199123352766037
-816.98036962,672,200.0,188416,280,92,509.0531887054443,910,0.9291989132761955,0.0003,0.04921875,0.6033389568328857,0.2,222.2807159423828,0.007956213,-0.007119856141798664,-0.9158492147922516
-773.6404283200002,672,200.0,190464,283,93,444.18276195526124,920,0.9430443122982979,0.0003,0.050732421875,0.6079581379890442,0.2,175.96437072753906,0.0047156014,-0.005000944493804127,-0.9172111462801695
-728.3192933800002,672,200.0,192512,286,94,532.7005560398102,930,0.9226809144020081,0.0003,0.03828125,0.6073981523513794,0.2,288.3135681152344,0.0046141725,-0.0028578173420100938,-0.9206509754061699
-689.8228816100001,672,200.0,194560,289,95,456.24216203689576,940,0.9565612226724625,0.0003,0.0595703125,0.6022229790687561,0.2,218.7996826171875,0.0057155285,-0.007068474930565572,-0.9147745994850993
-674.95389536,672,200.0,196608,292,96,588.8764270305634,950,0.9494290426373482,0.0003,0.03095703125,0.6025791764259338,0.2,517.303466796875,0.0046135397,-0.0018343447518418543,-0.9100893631577491
-658.4284535,672,200.0,198656,295,97,877.9993250846862,960,0.9591651745140553,0.0003,0.039599609375,0.6022357940673828,0.2,417.2231750488281,0.0054384195,-0.0035664224094944076,-0.9122993690893054
-610.45044071,672,200.0,200704,298,98,785.0533540725708,970,0.9579485319554806,0.0003,0.022119140625,0.602228045463562,0.2,212.3097381591797,0.0019158894,-0.0014676198246888817,-0.9117984468117356
