time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/policy_gradient_loss,train/std,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/value_loss
75776,200.0,37,117,644,-1111.07242651,-0.0021499928494449704,0.8446270823478699,360,0.02294921875,1032.0718994140625,0.2,0.004009885,0.0003,1.0132789611816406e-05,-1.2643469322472811,2562.5356143951417
77824,200.0,38,120,645,-1112.6439383799998,-0.0051900898724852595,0.8360595107078552,370,0.05498046875,972.7079467773438,0.2,0.0066331206,0.0003,1.043081283569336e-05,-1.2450437515974044,1963.7040756225585
79872,200.0,39,123,645,-1106.8778746799999,-0.0035086410571238957,0.8302133083343506,380,0.0501953125,1145.8416748046875,0.2,0.005620683,0.0003,7.033348083496094e-06,-1.2372791431844234,2804.005018234253
81920,200.0,40,126,645,-1096.68087373,-0.0037644421943696217,0.8249539136886597,390,0.046923828125,975.0845947265625,0.2,0.0047027916,0.0003,6.854534149169922e-06,-1.2299408838152885,2385.8978622436525
83968,200.0,41,129,646,-1094.9887182100001,-0.00041483551176497714,0.8386407494544983,400,0.01435546875,981.6741333007812,0.2,0.0020646746,0.0003,7.271766662597656e-06,-1.2348727863281965,2182.818281555176
86016,200.0,42,133,646,-1080.95751033,-0.0021110814945132007,0.8349692821502686,410,0.03359375,722.5303955078125,0.2,0.004220756,0.0003,5.781650543212891e-06,-1.2403507634997368,1734.205467224121
88064,200.0,43,136,646,-1068.35992154,-0.0027762247889768334,0.8060572743415833,420,0.02333984375,970.68017578125,0.2,0.004702025,0.0003,4.470348358154297e-06,-1.2204073298722506,2211.677298736572
90112,200.0,44,139,647,-1044.12846365,-0.0020658916488173417,0.802692711353302,430,0.025390625,797.3320922851562,0.2,0.0025521056,0.0003,3.814697265625e-06,-1.2016118552535773,1702.4638927459716
92160,200.0,45,142,647,-1042.7644481300001,-0.0013420132680039387,0.8001322150230408,440,0.025927734375,641.1611938476562,0.2,0.0046780854,0.0003,3.933906555175781e-06,-1.1946739200502634,1265.6337774276733
94208,200.0,46,145,647,-1028.81224082,-0.0012553566019050777,0.7913457155227661,450,0.01220703125,668.8731079101562,0.2,0.0026998683,0.0003,3.4570693969726562e-06,-1.1917239893227816,1599.9797559738158
96256,200.0,47,148,648,-1043.1794140700001,-0.0009952081949450076,0.7859117388725281,460,0.02216796875,648.8132934570312,0.2,0.004143603,0.0003,3.2782554626464844e-06,-1.1825690623372793,1219.6267414093018
98304,200.0,48,151,648,-1045.6290192000001,-0.0015720163777587005,0.7893730401992798,470,0.0162109375,1039.7764892578125,0.2,0.0029596873,0.0003,2.384185791015625e-06,-1.1812015209347009,2268.090653991699
100352,200.0,49,154,648,-1046.2878613599999,-0.002103674404497724,0.7981473207473755,480,0.024072265625,860.3692626953125,0.2,0.0038208643,0.0003,2.086162567138672e-06,-1.1865082021802664,2056.9830581665037
102400,200.0,50,157,648,-1052.1367346299999,-0.0028090602529118767,0.8049143552780151,490,0.03544921875,735.1686401367188,0.2,0.004408369,0.0003,2.5033950805664062e-06,-1.1993608690798283,1807.5739723205565
104448,200.0,51,160,649,-1054.68247716,-0.0017109155000071042,0.7940961718559265,500,0.030615234375,553.3954467773438,0.2,0.0042762076,0.0003,2.3245811462402344e-06,-1.1965595196932555,1508.965153503418
106496,200.0,52,164,649,-1053.18295305,-0.0029709100977925117,0.8054264783859253,510,0.052880859375,593.135986328125,0.2,0.0052123005,0.0003,2.682209014892578e-06,-1.1961957111954689,1252.1704288482665
108544,200.0,53,167,649,-1050.63063861,-0.002982304796751123,0.7907986640930176,520,0.02392578125,538.4459838867188,0.2,0.0034030834,0.0003,1.9669532775878906e-06,-1.1949896838515996,1335.967150115967
110592,200.0,54,170,649,-1081.10618496,0.0003392777682165615,0.783122718334198,530,0.01005859375,591.6064453125,0.2,0.002786861,0.0003,2.086162567138672e-06,-1.1800452094525098,1222.927069091797
112640,200.0,55,173,650,-1081.05365149,-0.005290402788523352,0.7781258821487427,540,0.044970703125,965.6321411132812,0.2,0.004303761,0.0003,1.6093254089355469e-06,-1.1708076555281877,1962.7217769622803
114688,200.0,56,176,650,-1078.9704696400001,-0.00191185669391416,0.7836663126945496,550,0.054296875,365.3746643066406,0.2,0.0044494253,0.0003,1.7881393432617188e-06,-1.1729475613683462,862.5572853088379
116736,200.0,57,179,650,-1069.4144269399999,-0.003499856244889088,0.7835023999214172,560,0.0689453125,351.3818359375,0.2,0.0062276656,0.0003,2.086162567138672e-06,-1.1787939932197333,768.6163667678833
118784,200.0,58,182,650,-1047.77265767,-0.0026204592708381825,0.7947914600372314,570,0.0357421875,546.89892578125,0.2,0.0049011856,0.0003,1.7285346984863281e-06,-1.1811578206717968,1243.1664035797119
120832,200.0,59,185,651,-1050.01639933,-0.0036566884038620627,0.7852135300636292,580,0.0361328125,413.25823974609375,0.2,0.004612832,0.0003,2.0265579223632812e-06,-1.1834910873323679,996.258962059021
122880,200.0,60,188,651,-1048.7251457700002,-0.0023201533549581654,0.8018668293952942,590,0.0177734375,431.6899108886719,0.2,0.0031489392,0.0003,2.205371856689453e-06,-1.1887096136808395,1007.7927688598633
124928,200.0,61,191,651,-1042.79945876,-0.0018034347565844655,0.7997825741767883,600,0.028271484375,481.99151611328125,0.2,0.0038816251,0.0003,2.682209014892578e-06,-1.1970695450901985,937.0936141967774
126976,200.0,62,194,651,-1057.60848311,-0.003908201650483533,0.8183175921440125,610,0.064697265625,370.7733459472656,0.2,0.0059384108,0.0003,3.039836883544922e-06,-1.208044470846653,881.3342457771301
129024,200.0,63,197,651,-1061.67313408,-0.00352709605358541,0.8164117336273193,620,0.032958984375,522.084716796875,0.2,0.00434609,0.0003,1.9073486328125e-06,-1.2174953781068325,1119.4301166534424
131072,200.0,64,201,651,-1044.1416935099999,-0.0020696257561212406,0.8025097250938416,630,0.033251953125,430.2911376953125,0.2,0.0046089357,0.0003,3.993511199951172e-06,-1.207595193758607,959.5774150848389
133120,200.0,65,204,651,-1044.8011814899999,-0.0023516001470852642,0.8080108761787415,640,0.059814453125,408.6281433105469,0.2,0.0043948432,0.0003,7.331371307373047e-06,-1.2043383218348027,743.6301384925843
135168,200.0,66,207,651,-1066.8499696799997,-0.0025032338962773792,0.811064600944519,650,0.038330078125,361.737548828125,0.2,0.0038486735,0.0003,0.17464184761047363,-1.2089706510305405,727.1357851028442
137216,200.0,67,210,651,-1056.2303513699999,0.00022372214734787122,0.8033542037010193,660,0.007470703125,310.1183776855469,0.2,0.002917612,0.0003,0.31377190351486206,-1.2063451275229453,917.0889251708984
139264,200.0,68,213,652,-1061.59483572,-0.001365406281547621,0.7883875966072083,670,0.03466796875,143.29953002929688,0.2,0.0050560455,0.0003,0.5313587486743927,-1.1894350815564394,448.4318033218384
141312,200.0,69,216,652,-1071.02205548,-0.0026130441576242445,0.784094512462616,680,0.04248046875,408.677734375,0.2,0.0030683773,0.0003,0.42170363664627075,-1.1782879941165447,913.7040699005126
143360,200.0,70,219,652,-1072.15747218,-0.0012231382759637199,0.7815048694610596,690,0.01904296875,232.41769409179688,0.2,0.0043413546,0.0003,0.5633496940135956,-1.174489026889205,840.3361198425293
145408,200.0,71,222,652,-1080.18215088,-0.0025960601640690585,0.7681803107261658,700,0.04208984375,372.37860107421875,0.2,0.0051007746,0.0003,0.5471024811267853,-1.164410636946559,870.0240789413452
147456,200.0,72,225,652,-1072.9156125199997,-0.002087127348931972,0.7610865235328674,710,0.0318359375,170.87789916992188,0.2,0.0040160553,0.0003,0.638489305973053,-1.150553923845291,362.72347288131715
149504,200.0,73,229,652,-1072.9777897100003,-0.002017986564897001,0.7453408241271973,720,0.036279296875,232.5908203125,0.2,0.0047381124,0.0003,0.5749819576740265,-1.1353210348635911,691.3965411186218
151552,200.0,74,232,652,-1075.8927635700002,-0.000696600850642426,0.7319060564041138,730,0.031689453125,220.49317932128906,0.2,0.0027237004,0.0003,0.6373439729213715,-1.114956147223711,521.7866313934326
153600,200.0,75,235,653,-1077.16955962,-0.0019903093059838286,0.7401039600372314,740,0.044775390625,260.7785949707031,0.2,0.0043445127,0.0003,0.6818948686122894,-1.1099222339689732,503.15677943229673
155648,200.0,76,238,653,-1073.82200454,-0.003738170114957029,0.7319462895393372,750,0.0515625,106.21184539794922,0.2,0.00563615,0.0003,0.7584246546030045,-1.1111640449613334,310.9500545501709
157696,200.0,77,241,653,-1065.5281309900001,-0.0041051094187423585,0.7190371155738831,760,0.06416015625,209.06813049316406,0.2,0.005463148,0.0003,0.742806077003479,-1.0975222583860158,407.3562557220459
159744,200.0,78,244,653,-1068.23405283,-0.0038878846520674416,0.7093811631202698,770,0.047802734375,107.04315948486328,0.2,0.0052840197,0.0003,0.7775716632604599,-1.0807309776544571,333.04651494026183
161792,200.0,79,247,653,-1057.5924822400002,-0.002479072163987439,0.6869824528694153,780,0.052001953125,108.39595794677734,0.2,0.005110905,0.0003,0.7620663940906525,-1.059762480482459,254.89753289222716
163840,200.0,80,250,653,-1034.01427854,-0.002084381633903831,0.6768258213996887,790,0.059423828125,103.6826400756836,0.2,0.005209234,0.0003,0.7278108596801758,-1.0370348539203404,228.193466258049
165888,200.0,81,253,653,-1016.0335641,-0.0005500680505065248,0.670408308506012,800,0.040673828125,98.24362182617188,0.2,0.004187489,0.0003,0.7708855271339417,-1.023446286097169,200.40479023456572
167936,200.0,82,256,653,-995.55924156,-0.0015466199540242088,0.6753000617027283,810,0.057666015625,62.1678466796875,0.2,0.005488256,0.0003,0.7870726138353348,-1.0231345936655998,180.442552280426
169984,200.0,83,259,654,-976.07592008,-0.0054229169269092384,0.6676121354103088,820,0.097216796875,75.8842544555664,0.2,0.008630963,0.0003,0.7970544993877411,-1.0202373310923576,140.12797639369964
172032,200.0,84,262,654,-972.4160490500002,-0.0025126260552497115,0.6461367011070251,830,0.040771484375,117.33087921142578,0.2,0.0043366146,0.0003,0.8195207715034485,-0.9972252275794744,214.72601301670073
174080,200.0,85,266,654,-961.59219864,-0.003245195002818946,0.6355996131896973,840,0.049169921875,168.34298706054688,0.2,0.0043716906,0.0003,0.8174795210361481,-0.9736294724047184,338.0580475330353
176128,200.0,86,269,654,-949.8998826,-0.0017781347516574897,0.6369607448577881,850,0.02421875,242.16741943359375,0.2,0.0022754488,0.0003,0.8030942678451538,-0.9673409091308713,469.18318114280703
178176,200.0,87,272,654,-927.05054968,-0.0031891231548797803,0.6298383474349976,860,0.064892578125,110.3380355834961,0.2,0.0051676817,0.0003,0.8752351701259613,-0.9615609470754862,232.64281725883484
180224,200.0,88,275,654,-908.1317585399999,-0.004336328669160139,0.6296696066856384,870,0.06865234375,66.94420623779297,0.2,0.0053045545,0.0003,0.6964777708053589,-0.9563988488167524,182.15900008678437
