rollout/ep_len_mean,time/total_timesteps,time/episodes,train/n_updates,train/critic_loss,train/ent_coef_loss,train/ent_coef,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,time/fps,train/actor_loss
1090.48,128674,160,128573,0.2631523013114929,-0.08469873666763306,0.005139925517141819,2914,-57.92522964999999,0.0003,44,-0.5516698360443115
1131.8,133546,164,133445,0.308801531791687,0.2129136323928833,0.005468170158565044,3032,-48.05910018999999,0.0003,44,-0.05821502208709717
1154.98,139365,168,139264,0.2872213125228882,-0.9018250107765198,0.0062321885488927364,3172,-36.09184156,0.0003,43,-2.268230676651001
1177.2,144216,172,144115,0.25501736998558044,-0.3642643690109253,0.005964559502899647,3289,-20.629417949999993,0.0003,43,-2.5084545612335205
1151.72,148068,176,147967,0.15344418585300446,0.5915383696556091,0.005976083222776651,3382,-7.674127009999999,0.0003,43,-4.068471431732178
1130.15,152311,180,152210,0.2409520447254181,-1.1856236457824707,0.006591291166841984,3484,7.955358639999999,0.0003,43,-4.7517924308776855
1125.62,156548,184,156447,0.18477094173431396,-1.035776972770691,0.006563753355294466,3586,23.574863200000003,0.0003,43,-4.960504531860352
1132.89,160671,188,160570,0.17837312817573547,0.484001100063324,0.007254248484969139,3685,39.80694846,0.0003,43,-4.305236339569092
1133.29,164844,192,164743,0.1544482409954071,1.1562780141830444,0.006974929012358189,3786,55.65278692,0.0003,43,-5.615498065948486
1135.66,168980,196,168879,1.5023757219314575,1.2106688022613525,0.0068735117092728615,3886,71.59806934,0.0003,43,-7.412269115447998
1148.98,173083,200,172982,0.1141076534986496,0.17863672971725464,0.007285089697688818,3985,87.00517652,0.0003,43,-9.314324378967285
1135.77,176734,204,176633,0.2807864546775818,-0.9704304337501526,0.007476743310689926,4073,98.72181211000002,0.0003,43,-9.044713973999023
1102.87,179844,208,179743,0.19751498103141785,-1.195163369178772,0.007429912220686674,4148,109.37711903000003,0.0003,43,-9.953607559204102
1090.66,183667,212,183566,0.2030755877494812,-1.4520102739334106,0.007790952920913696,4241,125.02828170999999,0.0003,43,-9.80153751373291
1064.8,187481,216,187380,1.9108835458755493,2.6546363830566406,0.00760590098798275,4333,140.01398726999997,0.0003,43,-11.13992977142334
1053.72,191312,220,191211,0.12225303053855896,0.30328989028930664,0.007753018755465746,4426,156.0894247,0.0003,43,-11.257957458496094
1071.53,195119,224,195018,0.14989131689071655,-2.1207454204559326,0.008097226731479168,4518,171.5162527,0.0003,43,-12.773770332336426
1053.23,198062,228,197961,0.13847021758556366,-1.0211752653121948,0.007834483869373798,4589,182.46288534000004,0.0003,43,-13.942085266113281
1054.46,201547,232,201446,0.1561928391456604,-1.7639002799987793,0.0072330269031226635,4673,193.97255825,0.0003,43,-14.85499382019043
1073.56,205041,236,204940,0.11777503788471222,-0.19889941811561584,0.007412954233586788,4764,209.55189227999995,0.0003,43,-14.370847702026367
