time/total_timesteps,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,train/ent_coef,train/n_updates,train/ent_coef_loss,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,time/episodes,time/fps
33757,527.453125,-8.841930389404297,762,0.01065233163535595,33656,0.9732853770256042,0.0003,0.7797405123710632,-115.74911340624999,64,44
40157,590.5441176470588,-5.3296308517456055,903,0.006583563983440399,40056,0.9610371589660645,0.0003,0.6880961656570435,-113.74809874999998,68,44
42021,583.625,-5.735664367675781,945,0.00584216695278883,41920,-0.8795673847198486,0.0003,0.4086807370185852,-113.4109178611111,72,44
45386,597.1842105263158,-5.8653178215026855,1018,0.00630188500508666,45285,-0.06762176752090454,0.0003,0.24760016798973083,-111.42151014473684,76,44
48813,610.1625,-3.18837833404541,1094,0.005522063467651606,48712,-0.21332935988903046,0.0003,0.3135157823562622,-110.616852025,80,44
52270,622.2619047619048,-2.0448803901672363,1170,0.004425297491252422,52169,0.9712008237838745,0.0003,0.408671110868454,-109.35568703571428,84,44
58670,666.7045454545455,-1.2292101383209229,1312,0.00372929684817791,58569,1.6399364471435547,0.0003,0.18122151494026184,-108.1151328409091,88,44
62258,676.7173913043479,-0.727630078792572,1392,0.0034938312601298094,62157,-2.398787260055542,0.0003,0.5110413432121277,-107.78061670652173,92,44
63058,656.8541666666666,-0.3867759108543396,1410,0.0032174251973628998,62957,-0.183572918176651,0.0003,0.34666794538497925,-108.43713255208331,96,44
64884,648.84,1.2290399074554443,1452,0.0032265018671751022,64783,1.8755829334259033,0.0003,0.732565701007843,-108.06471325999999,100,44
69751,678.51,1.702797532081604,1562,0.0031918541062623262,69650,-0.274371862411499,0.0003,0.23433423042297363,-106.96220110999997,104,44
70054,650.37,0.8749494552612305,1569,0.0032003321684896946,69953,0.39536571502685547,0.0003,0.4196310043334961,-106.05869593999999,108,44
71856,634.46,1.9214469194412231,1611,0.0032443595118820667,71755,0.7980223894119263,0.0003,1.6074116230010986,-105.77816236000001,112,44
72127,609.08,1.7459732294082642,1618,0.003354092128574848,72026,0.3435678482055664,0.0003,0.31084415316581726,-105.61184510999999,116,44
72439,603.76,3.0842318534851074,1625,0.00336476881057024,72338,-0.32279127836227417,0.0003,0.601955771446228,-105.05684876,120,44
72728,559.94,2.6169657707214355,1632,0.003353961044922471,72627,3.223010301589966,0.0003,0.4739587903022766,-105.05581968999999,124,44
77594,603.42,2.375951051712036,1746,0.004813892301172018,77493,-1.4309868812561035,0.0003,0.33553823828697205,-104.10264752,128,44
83994,662.66,2.7264649868011475,1898,0.003319213632494211,83893,1.0740153789520264,0.0003,0.22968097031116486,-102.51243317999999,132,44
87892,667.11,2.486915349960327,1990,0.0034159331116825342,87791,0.6111423373222351,0.0003,0.23076200485229492,-101.56427055999998,136,44
90430,682.54,4.619678974151611,2051,0.003453991375863552,90329,2.0728304386138916,0.0003,0.372499942779541,-100.52023797,140,44
93922,697.56,2.742875337600708,2134,0.0031946725212037563,93821,-1.7105512619018555,0.0003,0.3859962224960327,-97.81953250000001,144,44
95995,715.36,4.094046592712402,2183,0.003473058342933655,95894,2.095139265060425,0.0003,0.42774516344070435,-96.75931141999999,148,43
