rollout/ep_len_mean,train/n_updates,time/fps,train/critic_loss,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,time/episodes,train/actor_loss
117.0340909090909,10198,50,5.936211109161377,10299,205,-111.77206594318183,0.001,88,11.367813110351562
116.25,10594,50,5.429316520690918,10695,213,-111.5925915978261,0.001,92,13.58405876159668
115.23958333333333,10962,50,5.6261749267578125,11063,220,-111.25247179166668,0.001,96,10.75568675994873
113.9,11289,50,4.676852703094482,11390,226,-110.86977218000001,0.001,100,9.804171562194824
105.92,11585,50,5.904439926147461,11686,232,-109.73538347000002,0.001,104,12.706003189086914
107.84,11982,50,6.065021991729736,12083,240,-109.89891474999999,0.001,108,12.536232948303223
110.7,12577,50,6.296204566955566,12678,252,-110.72251782000001,0.001,112,18.835552215576172
112.07,13042,50,6.190578460693359,13143,262,-110.64788882,0.001,116,14.650729179382324
114.14,13516,50,6.961625576019287,13617,271,-110.52070203000001,0.001,120,16.01270866394043
111.88,13999,50,6.123944282531738,14100,281,-110.16607594999998,0.001,124,15.460307121276855
98.5,14587,50,5.824006080627441,14688,292,-109.02078297000001,0.001,128,19.071067810058594
98.54,14922,50,7.9892730712890625,15023,299,-108.44792645000001,0.001,132,15.920011520385742
98.6,15240,50,6.989073753356934,15341,305,-108.05973694000001,0.001,136,19.806428909301758
98.33,15504,50,6.9038987159729,15605,311,-107.90715641999999,0.001,140,22.710819244384766
94.11,15788,50,6.059257507324219,15889,316,-107.66992344000002,0.001,144,19.591907501220703
94.23,16062,50,7.604184150695801,16163,322,-107.59422668,0.001,148,25.48328971862793
95.47,16431,50,8.026922225952148,16532,329,-107.69029002,0.001,152,17.93221664428711
96.28,16789,50,6.266055107116699,16890,337,-107.49962310000001,0.001,156,26.233057022094727
97.38,17197,50,5.744507789611816,17298,345,-107.39714784999998,0.001,160,20.868349075317383
103.03,18090,50,7.49697208404541,18191,363,-108.00692428000002,0.001,164,24.59978485107422
107.05,18906,50,7.944745063781738,19007,379,-108.23799922000002,0.001,168,18.48634910583496
109.52,19514,50,14.882390975952148,19615,391,-108.11378001000001,0.001,172,28.8594970703125
111.76,20228,50,8.063924789428711,20329,405,-108.6813725,0.001,176,26.681364059448242
115.82,21016,50,22.687807083129883,21117,421,-109.27867030000002,0.001,180,25.984201431274414
133.06,23179,50,9.497358322143555,23280,464,-111.16671669999998,0.001,184,23.425479888916016
138.95,24093,50,9.802897453308105,24194,482,-111.64091878,0.001,188,25.397314071655273
153.75,25969,50,14.360353469848633,26070,520,-113.69039520000003,0.001,192,22.094987869262695
166.54,27616,50,10.501258850097656,27717,553,-115.68067099,0.001,196,23.23505973815918
197.35,31024,50,6.74849271774292,31125,620,-117.81509406000004,0.001,200,24.791215896606445
228.36,34421,50,7.137350082397461,34522,688,-118.74000725999998,0.001,204,22.91472816467285
272.16,39198,50,4.447171211242676,39299,784,-120.48868666999999,0.001,208,21.234025955200195
302.91,42868,50,4.2003655433654785,42969,858,-120.78385084,0.001,212,16.76104736328125
345.32,47574,49,4.620806694030762,47675,954,-122.43849885999998,0.001,216,14.97000503540039
354.07,48923,49,5.870859146118164,49024,982,-123.71595458999998,0.001,220,19.50464630126953
361.25,50124,49,3.8119711875915527,50225,1016,-124.34490295999998,0.001,224,16.960655212402344
382.26,52813,49,30.91516876220703,52914,1072,-125.77173555000002,0.001,228,15.916352272033691
404.09,55331,49,4.316659450531006,55432,1125,-126.64765496,0.001,232,16.336957931518555
411.14,56354,49,7.653991222381592,56455,1147,-127.62048894,0.001,236,19.03280258178711
