rollout/ep_len_mean,time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss
313.1,1492,336,83931,73.74377272,56,0.001,27.48352813720703,73930,7.114403247833252
314.99,1527,340,85300,81.71531757000001,55,0.001,20.903926849365234,75299,6.874353885650635
314.47,1556,344,86439,96.19222463,55,0.001,17.148855209350586,76438,4.258956432342529
320.26,1601,348,88148,103.43192908,55,0.001,18.28567123413086,78147,5.3777899742126465
316.11,1641,352,89682,117.39389304000002,54,0.001,15.622323036193848,79681,8.47800350189209
315.69,1671,356,90862,128.50185556,54,0.001,38.007869720458984,80861,4.907443523406982
315.25,1692,360,91647,134.51801533,54,0.001,37.552886962890625,81646,1.2568981647491455
314.94,1715,364,92509,140.25369616,53,0.001,23.392107009887695,82508,0.06769716739654541
318.85,1747,368,93730,151.90631135,53,0.001,21.069969177246094,83729,6.072935581207275
320.03,1781,372,95035,153.92890364,53,0.001,54.6458740234375,85034,6.498737335205078
332.52,1848,376,97548,152.2041071,52,0.001,87.94602966308594,87547,-0.22654831409454346
359.86,1943,380,101142,153.52279696,52,0.001,16.5467586517334,91141,5.603176116943359
391.29,2048,384,105142,147.77413556000002,51,0.001,55.908119201660156,95141,-2.8526611328125
390.58,2096,388,106960,151.35969167999997,51,0.001,256.9334411621094,96959,-3.0377471446990967
404.28,2164,392,109550,158.2187749,50,0.001,44.411842346191406,99549,-0.5915169715881348
402.68,2205,396,111113,163.18418509,50,0.001,65.3387680053711,101112,0.05750688910484314
402.05,2232,400,112139,163.75273762999998,50,0.001,32.09002685546875,102138,0.18120041489601135
398.49,2268,404,113495,161.70491628,50,0.001,34.371070861816406,103494,-0.40029820799827576
388.05,2292,408,114413,167.9749983,49,0.001,66.67109680175781,104412,-0.6059446334838867
393.22,2329,412,115811,170.90734095,49,0.001,23.19512176513672,105810,-5.387358665466309
395.95,2358,416,116914,176.08380718,49,0.001,22.688106536865234,106913,-4.410580158233643
395.82,2393,420,118243,176.34489141000003,49,0.001,15.790565490722656,108242,-4.036937713623047
398.42,2425,424,119453,183.69507252,49,0.001,19.56023406982422,109452,-5.038885116577148
396.49,2452,428,120500,185.94100599000004,49,0.001,66.52084350585938,110499,-4.638554096221924
393.95,2483,432,121638,190.24823158000004,48,0.001,24.780582427978516,111637,-2.8479702472686768
393.84,2527,436,123315,186.98987300999997,48,0.001,58.116676330566406,113314,-4.836849212646484
388.72,2550,440,124172,185.82067356,48,0.001,19.30127716064453,114171,-8.547863960266113
386.61,2574,444,125100,183.18461304000002,48,0.001,52.3287467956543,115099,-3.2099642753601074
381.92,2607,448,126340,188.48916408000002,48,0.001,215.3603057861328,116339,-1.6773535013198853
375.39,2631,452,127221,189.69411940999998,48,0.001,56.565208435058594,117220,-6.591009140014648
376.53,2666,456,128515,189.1797609,48,0.001,13.028661727905273,118514,-9.978272438049316
373.43,2678,460,128990,181.93869756000004,48,0.001,11.324722290039062,118989,-5.398149013519287
372.96,2700,464,129805,182.48028707,48,0.001,26.129528045654297,119804,-9.016366004943848
374.71,2738,468,131201,182.47761193,47,0.001,35.58164978027344,121200,-0.9868993759155273
370.08,2760,472,132043,183.41957704,47,0.001,53.88078308105469,122042,-3.497983694076538
353.78,2784,476,132926,189.71648407,47,0.001,44.17322540283203,122925,-6.235385894775391
326.86,2808,480,133828,189.23554018000002,47,0.001,10.10389518737793,123827,-5.568146705627441
298.88,2841,484,135030,200.91461089000003,47,0.001,16.840370178222656,125029,-6.225300312042236
287.99,2861,488,135759,200.43891384,47,0.001,35.09603500366211,125758,-6.84750509262085
270.69,2884,492,136619,199.58915094,47,0.001,82.52339935302734,126618,-9.8702392578125
262.52,2904,496,137365,194.39044136,47,0.001,18.136215209960938,127364,-7.098090648651123
263.49,2935,500,138488,192.67623043999996,47,0.001,79.12586212158203,128487,-4.4800801277160645
258.65,2958,504,139360,190.06849511000001,47,0.001,12.421527862548828,129359,-7.4391937255859375
261.57,2991,508,140570,177.65875793000004,46,0.001,105.81105041503906,130569,-8.681785583496094
255.86,3014,512,141397,176.45297140000002,46,0.001,25.396595001220703,131396,-8.000140190124512
253.41,3037,516,142255,172.42783342,46,0.001,20.144367218017578,132254,-11.762540817260742
248.38,3060,520,143081,175.21343051,46,0.001,117.48282623291016,133080,-12.92308235168457
247.41,3090,524,144194,171.31678782999998,46,0.001,94.51470947265625,134193,-10.687140464782715
246.5,3117,528,145150,171.13383456,46,0.001,22.371410369873047,135149,-9.401659965515137
244.92,3144,532,146130,171.42125961999997,46,0.001,10.161724090576172,136129,-12.269372940063477
240.28,3178,536,147343,174.66746016999994,46,0.001,14.655734062194824,137342,-6.753809928894043
241.24,3204,540,148296,177.47740175,46,0.001,72.71260070800781,138295,-12.789475440979004
241.96,3232,544,149296,179.76543145,46,0.001,29.763965606689453,139295,-14.888640403747559
238.31,3256,548,150171,180.56689051,46,0.001,35.721588134765625,140170,-15.392070770263672
240.49,3286,552,151270,180.00731772,46,0.001,64.86054992675781,141269,-10.563688278198242
240.03,3321,556,152518,180.3695712,45,0.001,98.86495208740234,142517,-15.161355018615723
