time/time_elapsed,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss
2873,360,188.74827896000002,386.68,47,135086,125085,0.001,11.27640438079834,-9.383352279663086
2902,364,188.03467448000004,382.2,46,136170,126169,0.001,49.162723541259766,-11.908754348754883
2939,368,187.31911454,374.16,46,137527,127526,0.001,11.269293785095215,-13.353281021118164
2967,372,190.73903426000004,361.69,46,138541,128540,0.001,15.16596794128418,-10.177159309387207
2991,376,193.50191873000003,345.27,46,139407,129406,0.001,49.794254302978516,-8.92593002319336
3028,380,197.76991676999998,338.11,46,140754,130753,0.001,40.48657989501953,-14.807938575744629
3060,384,201.65241271000002,329.31,46,141941,131940,0.001,5.1577324867248535,-12.287332534790039
3099,388,200.28985548,330.78,46,143347,133346,0.001,16.942615509033203,-9.10448169708252
3130,392,195.64294413000005,325.23,46,144460,134459,0.001,11.29330062866211,-13.284675598144531
3157,396,199.79261834000005,320.97,46,145417,135416,0.001,115.57334899902344,-10.219545364379883
3192,400,196.41496719,318.49,45,146654,136653,0.001,12.24276351928711,-13.263201713562012
3219,404,194.8167066,313.7,45,147616,137615,0.001,17.949600219726562,-13.951644897460938
3248,408,194.73723260000003,307.53,45,148674,138673,0.001,19.900043487548828,-13.957416534423828
3279,412,195.59967921999998,301.56,45,149787,139786,0.001,14.123397827148438,-10.884352684020996
3311,416,206.88909468999998,295.99,45,150902,140901,0.001,16.33649444580078,-14.091836929321289
3340,420,206.39525652,293.7,45,151952,141951,0.001,42.05007553100586,-11.556028366088867
3367,424,209.2607413,293.62,45,152892,142891,0.001,7.867250442504883,-16.242321014404297
3404,428,206.96730449999998,295.62,45,154207,144206,0.001,9.46743392944336,-12.728164672851562
3430,432,209.08642479,293.02,45,155098,145097,0.001,8.32679557800293,-11.43417739868164
3456,436,212.39903834000003,281.28,45,156004,146003,0.001,13.720504760742188,-14.668556213378906
3483,440,216.12060586000004,281.41,45,156966,146965,0.001,9.486281394958496,-13.840266227722168
3505,444,214.55826518000006,279.38,44,157740,147739,0.001,9.16175365447998,-16.547714233398438
3535,448,217.25521701000005,279.22,44,158785,148784,0.001,126.30708312988281,-10.533202171325684
3563,452,218.25499944,276.07,44,159793,149792,0.001,98.84288024902344,-13.754674911499023
3591,456,221.95545208999997,275.14,44,160774,150773,0.001,7.877581596374512,-13.282711029052734
3622,460,222.46901908,267.74,44,161860,151859,0.001,97.59443664550781,-13.655508041381836
3664,464,222.52173054999994,271.65,44,163335,153334,0.001,8.265874862670898,-13.84981918334961
3692,468,221.96417203000001,267.79,44,164306,154305,0.001,86.80215454101562,-13.757594108581543
3718,472,221.43236279,266.91,44,165232,155231,0.001,48.031715393066406,-16.21236801147461
3748,476,223.15616171000002,268.38,44,166245,156244,0.001,7.04305362701416,-15.958316802978516
3779,480,225.83344590000002,265.43,44,167297,157296,0.001,20.52007293701172,-11.99628734588623
3809,484,225.32543007,264.0,44,168341,158340,0.001,174.72592163085938,-13.52194595336914
3838,488,224.69720263,259.84,44,169331,159330,0.001,12.697406768798828,-16.658432006835938
3862,492,223.70244231,257.07,44,170167,160166,0.001,38.17803192138672,-15.837373733520508
3881,496,215.86705245000002,254.18,44,170835,160834,0.001,48.5422477722168,-14.0064697265625
