time/fps,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/n_updates,time/total_timesteps,train/critic_loss,rollout/ep_len_mean,train/learning_rate
45,30.958087921142578,-74.74017167,1971,312,89038,89139,9.628602027893066,384.71,0.001
45,29.84963607788086,-70.63948736,1997,316,89949,90050,9.869993209838867,369.78,0.001
44,31.039913177490234,-66.15061995999999,2056,320,92054,92155,12.774652481079102,376.81,0.001
44,30.133163452148438,-64.81173014,2094,324,93416,93517,6.576179504394531,373.02,0.001
44,29.88639259338379,-56.23591987,2125,328,94529,94630,16.565093994140625,361.34,0.001
44,28.212194442749023,-43.51192651,2202,332,97248,97349,115.9825439453125,371.18,0.001
43,31.749008178710938,-49.15853651,2263,336,99423,99524,15.110973358154297,385.77,0.001
43,30.44327735900879,-49.27033212000001,2328,340,101712,101813,12.288649559020996,392.27,0.001
43,29.675739288330078,-49.772435079999994,2344,344,102266,102367,11.06285285949707,375.48,0.001
43,26.113544464111328,-43.19040465,2416,348,104797,104898,31.913330078125,386.19,0.001
43,27.387903213500977,-39.59620222,2525,352,108594,108695,5.714221000671387,400.1,0.001
42,23.309240341186523,-37.56177677000001,2626,356,112111,112212,13.857099533081055,405.34,0.001
42,24.229677200317383,-34.31483610000001,2712,360,115074,115175,7.495568752288818,416.42,0.001
42,23.008766174316406,-28.24189219,2782,364,117468,117569,89.0767822265625,425.04,0.001
41,18.715782165527344,-25.816709880000005,2899,368,121468,121569,9.319021224975586,445.96,0.001
41,15.79899787902832,-25.228514830000005,2991,372,124583,124684,12.3120756149292,467.48,0.001
41,17.5421142578125,-25.523475019999996,3109,376,128583,128684,15.634428024291992,499.49,0.001
41,18.010025024414062,-23.262828779999996,3202,380,131705,131806,10.888345718383789,504.82,0.001
40,16.97998809814453,-9.660423399999999,3295,384,134788,134889,8.969074249267578,521.79,0.001
40,17.4918155670166,-7.1276622,3391,388,137984,138085,9.986227035522461,544.97,0.001
40,16.28005027770996,-7.872190500000001,3513,392,141984,142085,10.740966796875,572.67,0.001
40,17.28091049194336,-10.748880570000004,3636,396,145984,146085,9.661405563354492,606.17,0.001
39,14.892072677612305,-9.660125880000002,3751,400,149689,149790,5.707159996032715,635.59,0.001
39,14.852697372436523,-14.910660640000001,3824,404,152028,152129,13.110673904418945,646.41,0.001
39,14.720451354980469,-12.853006579999999,3913,408,154885,154986,25.757282257080078,667.07,0.001
39,13.235559463500977,-11.672579119999996,4001,412,157700,157801,9.057548522949219,686.62,0.001
39,14.111510276794434,-10.202677399999999,4109,416,161172,161273,17.294836044311523,712.23,0.001
39,11.140178680419922,-13.198561849999999,4232,420,165076,165177,14.928935050964355,730.22,0.001
38,10.952796936035156,-9.310887089999996,4328,424,168127,168228,28.1722412109375,747.11,0.001
38,12.041572570800781,-11.465716499999994,4429,428,171318,171419,5.60461950302124,767.89,0.001
38,12.888815879821777,-15.638504709999998,4494,432,173394,173495,14.432439804077148,761.46,0.001
38,13.818680763244629,-6.19965792,4580,436,176100,176201,11.404458999633789,766.77,0.001
38,12.907693862915039,1.5562627300000025,4649,440,178312,178413,19.131820678710938,766.0,0.001
38,14.15539264678955,11.5261502,4735,444,181014,181115,8.807168960571289,787.48,0.001
38,13.269193649291992,16.357981099999996,4793,448,182842,182943,12.152871131896973,780.45,0.001
38,16.0300350189209,11.871838149999999,4868,452,185212,185313,14.486832618713379,766.18,0.001
37,14.644877433776855,9.41747668,4940,456,187467,187568,5.085975646972656,753.56,0.001
37,16.550983428955078,17.857758789999995,5049,460,190911,191012,3.8488106727600098,758.37,0.001
37,16.2661075592041,18.05333953,5152,464,194125,194226,10.463760375976562,766.57,0.001
37,15.167717933654785,18.81809521,5252,468,197256,197357,11.643400192260742,757.88,0.001
37,12.493497848510742,16.42990906,5359,472,200616,200717,8.079565048217773,760.33,0.001
37,18.51876449584961,15.992706780000002,5487,476,204616,204717,12.30135726928711,760.33,0.001
37,13.483327865600586,18.49270147,5586,480,207728,207829,125.53646850585938,760.23,0.001
37,13.2755126953125,16.774068000000003,5701,484,211336,211437,8.309640884399414,765.48,0.001
36,11.629173278808594,18.85122918,5815,488,214908,215009,3.472052574157715,769.24,0.001
36,13.175159454345703,21.413227709999997,5920,492,218173,218274,8.166463851928711,761.89,0.001
36,10.883995056152344,26.058329750000006,5987,496,220278,220379,4.159766674041748,742.94,0.001
36,14.703150749206543,25.153956790000002,6037,500,221828,221929,8.673891067504883,721.39,0.001
36,14.366040229797363,20.889840620000005,6096,504,223679,223780,10.72293472290039,716.51,0.001
36,12.31654167175293,21.52028455,6168,508,225952,226053,12.012262344360352,710.67,0.001
36,11.153608322143555,21.82540286,6247,512,228448,228549,6.477251052856445,707.48,0.001
36,14.849790573120117,24.9292513,6342,516,231425,231526,11.101877212524414,702.53,0.001
36,9.773069381713867,32.739541439999996,6417,520,233778,233879,4.425091743469238,687.02,0.001
36,12.06287956237793,39.987064079999996,6484,524,235861,235962,9.77428913116455,677.34,0.001
36,11.48913288116455,45.25639291,6563,528,238325,238426,6.206934928894043,670.07,0.001
36,8.677179336547852,54.22359143,6631,532,240461,240562,5.962360382080078,670.67,0.001
36,10.643482208251953,57.20109605999999,6693,536,242411,242512,15.331611633300781,663.11,0.001
36,13.036449432373047,57.970115379999996,6794,540,245592,245693,8.985799789428711,672.8,0.001
36,11.354386329650879,51.70792702,6862,544,247618,247719,4.9715070724487305,666.04,0.001
36,14.130619049072266,49.29619044000002,6949,548,250349,250450,2.740450620651245,675.07,0.001
35,11.948238372802734,54.223647889999995,7059,552,253798,253899,5.278133869171143,685.86,0.001
35,11.144043922424316,64.46404901999999,7128,556,255946,256047,8.869039535522461,684.79,0.001
35,9.10909652709961,72.71792734,7199,560,258209,258310,6.6851396560668945,672.98,0.001
35,11.855587005615234,73.18346944000001,7306,564,261592,261693,16.69615936279297,674.67,0.001
35,8.171647071838379,77.95193574000001,7415,568,265035,265136,6.615691661834717,677.79,0.001
35,7.995416641235352,82.70181951,7528,572,268582,268683,7.83433723449707,679.66,0.001
35,9.860939979553223,88.97458899999998,7627,576,271680,271781,11.394987106323242,670.64,0.001
35,10.515164375305176,98.89708630999999,7702,580,274025,274126,7.184600830078125,662.97,0.001
35,7.369451522827148,108.19963524999999,7799,584,277062,277163,14.840919494628906,657.26,0.001
35,9.95380973815918,112.14064901,7889,588,279880,279981,6.688708305358887,649.72,0.001
35,9.086973190307617,117.02897115000003,7971,592,282439,282540,19.624778747558594,642.66,0.001
35,9.447922706604004,123.64292135,8045,596,284767,284868,7.234723091125488,644.89,0.001
35,6.928799629211426,133.30425913,8125,600,287276,287377,3.5421841144561768,654.48,0.001
35,7.715183734893799,141.20195424999997,8211,604,289980,290081,9.456079483032227,663.01,0.001
35,7.582117557525635,143.11155730000002,8290,608,292432,292533,8.21077823638916,664.8,0.001
35,8.059415817260742,144.73153385,8395,612,295746,295847,6.982594013214111,672.98,0.001
35,8.102235794067383,146.90278876999997,8469,616,298063,298164,41.0819091796875,666.38,0.001
35,5.684679985046387,147.40580504,8550,620,300583,300684,112.78291320800781,668.05,0.001
35,7.999384880065918,147.25771661,8601,624,302181,302282,3.611541748046875,663.2,0.001
35,9.442742347717285,145.89454907,8674,628,304465,304566,8.32811164855957,661.4,0.001
35,7.238932132720947,147.83762981,8715,632,305744,305845,6.521132469177246,652.83,0.001
35,6.9430251121521,150.00257084,8798,636,308316,308417,7.952537536621094,659.05,0.001
35,7.392830848693848,152.68521341,8854,640,310062,310163,8.737691879272461,644.7,0.001
35,5.9638776779174805,159.69641880999998,8918,644,312067,312168,17.928647994995117,644.49,0.001
34,6.229268550872803,162.24620962,9004,648,314740,314841,14.554117202758789,643.91,0.001
34,4.475716590881348,165.24734017999998,9102,652,317804,317905,12.77486801147461,640.06,0.001
34,9.175713539123535,164.40370138000003,9185,656,320376,320477,6.677330017089844,644.3,0.001
34,7.372427463531494,165.04266598,9258,660,322658,322759,14.60667610168457,644.49,0.001
34,4.805098533630371,171.43309268000002,9346,664,325375,325476,7.606538772583008,637.83,0.001
34,10.152361869812012,173.01868603,9433,668,328081,328182,11.474957466125488,630.46,0.001
34,10.88265609741211,175.3826162,9545,672,331565,331666,5.188507556915283,629.83,0.001
34,10.022941589355469,177.61826013000007,9647,676,334714,334815,8.897924423217773,630.34,0.001
34,12.973525047302246,170.59638652,9766,680,338392,338493,78.3792724609375,643.67,0.001
34,8.577129364013672,161.29172060999997,9895,684,342392,342493,6.49848747253418,653.3,0.001
34,14.071337699890137,156.53778803,10018,688,346191,346292,13.055166244506836,663.11,0.001
34,12.389525413513184,155.72244172999999,10104,692,348867,348968,9.135462760925293,664.28,0.001
34,9.840710639953613,151.65951944999998,10198,696,351781,351882,8.718734741210938,670.14,0.001
34,6.187498092651367,146.46672854999997,10310,700,355262,355363,101.86202239990234,679.86,0.001
34,7.108754634857178,149.84865657000003,10388,704,357654,357755,5.445807456970215,676.74,0.001
34,9.268293380737305,151.77270812000003,10445,708,359429,359530,8.007195472717285,669.97,0.001
34,8.926981925964355,151.13087112000002,10510,712,361439,361540,8.805387496948242,656.93,0.001
34,9.056967735290527,146.47833593,10574,716,363422,363523,4.941075325012207,653.59,0.001
34,9.019121170043945,147.84880739999997,10654,720,365882,365983,16.488849639892578,652.99,0.001
34,10.933005332946777,144.80076044999998,10732,724,368273,368374,17.998199462890625,660.92,0.001
34,8.848346710205078,140.69221667000002,10847,728,371827,371928,3.3363051414489746,673.62,0.001
34,9.47709846496582,137.61204002000002,10916,732,373969,374070,115.86885833740234,682.25,0.001
34,9.413778305053711,130.08366785,11020,736,377166,377267,12.253325462341309,688.5,0.001
34,10.320284843444824,124.00884948999999,11102,740,379691,379792,3.5498924255371094,696.29,0.001
34,7.9957594871521,119.82059293,11146,744,381068,381169,6.913209438323975,690.01,0.001
34,5.414644241333008,122.09080402,11212,748,383085,383186,5.964908599853516,683.45,0.001
34,8.068550109863281,124.64139279000001,11250,752,384250,384351,11.7598876953125,664.46,0.001
34,8.410811424255371,126.25014244,11314,756,386220,386321,4.004458427429199,658.44,0.001
34,6.699032783508301,125.91618299,11373,760,388039,388140,67.80657958984375,653.81,0.001
34,11.01382827758789,126.15655831,11445,764,390264,390365,6.162056922912598,648.89,0.001
34,8.86677074432373,128.5259852,11530,768,392856,392957,11.489450454711914,647.75,0.001
34,9.353745460510254,133.15203947999996,11578,772,394350,394451,13.504508972167969,627.85,0.001
34,8.014067649841309,134.21847137999998,11616,776,395508,395609,7.40421724319458,607.94,0.001
34,6.911031246185303,140.48369832999998,11654,780,396694,396795,4.771548271179199,583.02,0.001
34,7.356660842895508,150.45328997,11690,784,397781,397882,14.141533851623535,553.89,0.001
34,8.59638786315918,160.61666792,11736,788,399205,399306,13.460681915283203,530.14,0.001
34,9.702197074890137,168.38565283,11776,792,400429,400530,49.78218078613281,515.62,0.001
33,5.4022698402404785,169.60963376,11834,796,402207,402308,35.659088134765625,504.26,0.001
33,7.186411380767822,170.16787921000002,11879,800,403601,403702,7.683032989501953,483.39,0.001
33,4.04417085647583,171.78209853999996,11918,804,404808,404909,4.574043273925781,471.54,0.001
33,7.4217376708984375,169.31716792999998,11960,808,406111,406212,15.478374481201172,466.82,0.001
33,4.093507289886475,174.74316489,12002,812,407385,407486,7.440587043762207,459.46,0.001
33,9.545968055725098,178.78097585,12051,816,408912,409013,14.072690963745117,454.9,0.001
33,9.867680549621582,175.71874784000002,12097,820,410304,410405,13.095073699951172,444.22,0.001
33,6.1694746017456055,172.21499111,12134,824,411448,411549,97.95719909667969,431.75,0.001
33,3.933422327041626,175.98699706,12184,828,412982,413083,10.769610404968262,411.55,0.001
33,6.335784435272217,178.76871769000002,12226,832,414287,414388,7.671789169311523,403.18,0.001
33,4.620832443237305,188.64769475000006,12268,836,415568,415669,20.223983764648438,384.02,0.001
33,7.236260890960693,194.52434359999998,12324,840,417294,417395,10.572601318359375,376.03,0.001
33,6.632528305053711,199.08862897000003,12372,844,418773,418874,17.97559928894043,377.05,0.001
33,7.290809154510498,199.13890343999995,12428,848,420477,420578,10.915334701538086,373.92,0.001
33,6.4111223220825195,203.22890866,12473,852,421847,421948,10.826190948486328,375.97,0.001
33,7.108681678771973,202.83530603,12524,856,423420,423521,6.198780059814453,372.0,0.001
33,6.512099742889404,203.02011308999997,12595,860,425580,425681,5.027812957763672,375.41,0.001
33,5.92129373550415,204.13760241000003,12658,864,427529,427630,56.06159973144531,372.65,0.001
33,5.417062759399414,206.0400863,12723,868,429508,429609,10.273885726928711,366.52,0.001
33,7.1026153564453125,208.52954497000002,12771,872,430966,431067,5.652436256408691,366.16,0.001
33,8.421350479125977,208.95341396,12842,876,433158,433259,15.786534309387207,376.5,0.001
33,6.379600524902344,210.04566086999995,12913,880,435330,435431,7.349021911621094,386.36,0.001
33,6.133761405944824,209.08331413999997,12963,884,436876,436977,7.2101545333862305,390.95,0.001
33,8.225410461425781,208.57494732000004,13010,888,438316,438417,9.089394569396973,391.11,0.001
33,7.155360698699951,207.96073521000002,13058,892,439768,439869,37.82979965209961,393.39,0.001
33,7.962016582489014,213.84970571999997,13097,896,440973,441074,7.1581268310546875,387.66,0.001
33,6.34412956237793,220.67740001999994,13134,900,442117,442218,4.504117012023926,385.16,0.001
33,4.375194549560547,220.27487826999996,13175,904,443385,443486,5.3538289070129395,385.77,0.001
33,6.965430736541748,223.07045032,13230,908,445061,445162,5.355427265167236,389.5,0.001
