time/episodes,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/critic_loss,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/actor_loss,time/time_elapsed
144,69.11,0.001,9793,27.68442153930664,9894,-595.8234776499999,46,156.26611328125,211
148,68.55,0.001,10043,98.46826171875,10144,-594.0461490099999,46,166.50450134277344,218
152,68.04,0.001,10291,80.12950134277344,10392,-587.7578891500001,45,171.5543670654297,226
156,68.24,0.001,10576,95.8904037475586,10677,-589.31574449,45,164.08689880371094,234
160,67.74,0.001,10824,55.3732795715332,10925,-586.5677283,45,174.5646514892578,240
164,68.58,0.001,11164,66.85403442382812,11265,-593.58636725,45,179.59893798828125,249
168,68.2,0.001,11412,150.94509887695312,11513,-588.9801344100001,44,174.59451293945312,256
172,68.29,0.001,11708,71.05740356445312,11809,-583.54472108,45,182.06573486328125,262
176,67.79,0.001,11974,280.3599548339844,12075,-578.13994232,45,182.81365966796875,267
180,67.58,0.001,12220,91.10714721679688,12321,-576.85590407,45,186.4962158203125,273
184,67.28,0.001,12477,146.64852905273438,12578,-576.4636863500001,45,190.35205078125,278
188,67.58,0.001,12791,29.56246566772461,12892,-577.49183583,45,195.33013916015625,285
192,67.2,0.001,13037,68.60298156738281,13138,-575.47286406,45,195.74026489257812,291
196,67.51,0.001,13320,137.40582275390625,13421,-577.20683281,45,205.56007385253906,296
200,67.36,0.001,13579,103.35540008544922,13680,-577.63127322,45,194.60208129882812,302
204,67.83,0.001,13856,45.32552719116211,13957,-581.4076686899999,45,208.11524963378906,308
208,68.16,0.001,14141,41.09175491333008,14242,-585.6872673900001,45,207.63543701171875,314
212,68.45,0.001,14407,108.46221923828125,14508,-589.70037903,45,194.790771484375,320
216,68.11,0.001,14653,107.0632095336914,14754,-589.70397865,45,214.42404174804688,325
220,67.65,0.001,14904,421.03778076171875,15005,-583.3921458399999,45,213.54945373535156,330
224,67.69,0.001,15163,37.846946716308594,15264,-582.97625598,45,222.3028564453125,336
228,67.79,0.001,15438,110.40670776367188,15539,-587.32553823,45,219.47869873046875,341
232,66.81,0.001,15693,139.89215087890625,15794,-578.76791462,45,224.23512268066406,347
236,67.28,0.001,15988,316.30194091796875,16089,-576.117953,45,223.8707733154297,353
240,67.58,0.001,16254,239.19332885742188,16355,-579.4228908,45,222.37057495117188,359
244,67.46,0.001,16539,89.23236846923828,16640,-582.2660288899999,45,224.98129272460938,365
248,67.35,0.001,16778,181.81202697753906,16879,-580.22771068,45,224.04949951171875,370
252,67.52,0.001,17043,429.17340087890625,17144,-583.61164489,45,231.917724609375,375
256,67.07,0.001,17283,92.64494323730469,17384,-577.9990652800002,45,228.87635803222656,380
260,66.93,0.001,17517,69.65121459960938,17618,-572.5558827000001,45,231.6920166015625,385
264,66.45,0.001,17809,85.44998168945312,17910,-567.27811826,45,229.75637817382812,392
268,66.13,0.001,18025,37.7590446472168,18126,-561.4031048100001,45,236.9635009765625,396
272,65.97,0.001,18305,119.04869842529297,18406,-567.9805607,45,243.20355224609375,402
276,66.11,0.001,18585,68.7829818725586,18686,-563.2999952,45,251.73788452148438,408
