time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss
788,48802,281.51,-60.19707127000001,61,212,4.83437442779541,0.001,38801,5.576890468597412
809,49865,276.34,-55.28179679,61,216,5.946975231170654,0.001,39864,7.358094215393066
842,51474,276.11,-59.42923544,61,220,15.584284782409668,0.001,41473,6.65102481842041
867,52747,280.78,-67.99782299000002,60,224,12.4931640625,0.001,42746,9.283302307128906
904,54570,292.05,-79.73318887,60,228,19.37981414794922,0.001,44569,10.915392875671387
934,56047,295.1,-87.9371874,59,232,8.637481689453125,0.001,46046,14.702190399169922
973,57924,304.85,-85.59566424,59,236,8.4896821975708,0.001,47923,12.549137115478516
1003,59342,309.2,-86.471406,59,240,10.961187362670898,0.001,49341,12.254861831665039
1032,60712,317.03,-81.92414575000001,58,244,15.314062118530273,0.001,50711,12.378965377807617
1058,61976,313.47,-85.54419343,58,248,5.617616653442383,0.001,51975,10.606249809265137
1097,63802,324.68,-78.40545468999998,58,252,8.236228942871094,0.001,53801,6.120765209197998
1147,66178,341.78,-86.3073114,57,256,9.383795738220215,0.001,56177,7.277383804321289
1180,67768,350.81,-91.67701314000001,57,260,13.090017318725586,0.001,57767,11.707878112792969
1206,68967,354.34,-90.49745495,57,264,9.003406524658203,0.001,58966,12.231422424316406
1252,71126,368.31,-89.58251563,56,268,7.330805778503418,0.001,61125,8.703166007995605
1297,73171,380.8,-88.86141113,56,272,11.183830261230469,0.001,63170,11.928895950317383
1338,75079,390.53,-85.40435894000001,56,276,7.077956199645996,0.001,65078,11.359131813049316
1390,77410,404.57,-87.32200558000002,55,280,10.221691131591797,0.001,67409,11.644844055175781
1472,80861,428.5,-87.05133944,54,284,6.43525505065918,0.001,70860,10.926509857177734
1553,84025,444.49,-90.47769908000001,54,288,11.198620796203613,0.001,74024,11.133452415466309
1604,85914,452.42,-86.68639484,53,292,6.80255126953125,0.001,75913,7.303022384643555
1667,88279,453.94,-91.50523773000003,52,296,15.759940147399902,0.001,78278,8.376626968383789
1757,91619,477.38,-86.28803759,52,300,6.065252304077148,0.001,81618,8.744266510009766
1844,94866,500.01,-87.15325094000002,51,304,41.61137390136719,0.001,84865,8.216240882873535
1912,97410,500.27,-80.67006740999999,50,308,7.314542293548584,0.001,87409,4.221029758453369
1990,100319,515.17,-83.77247077,50,312,7.897696018218994,0.001,90318,7.38480281829834
2083,103800,539.35,-88.17696596000002,49,316,14.845050811767578,0.001,93799,4.968001842498779
2158,106564,550.9,-85.44050275,49,320,4.3284807205200195,0.001,96563,6.281075477600098
2222,108957,562.1,-74.90594468,49,324,25.083484649658203,0.001,98956,3.430128335952759
2304,111997,574.27,-59.950951690000004,48,328,9.812799453735352,0.001,101996,7.35525369644165
2407,115867,598.2,-48.70200036999999,48,332,10.293452262878418,0.001,105866,6.952270984649658
2480,118568,606.44,-47.044715800000006,47,336,103.62826538085938,0.001,108567,6.53116512298584
2518,119953,606.11,-42.11703742,47,340,9.040180206298828,0.001,109952,5.059937477111816
2582,122286,615.74,-40.01492989999999,47,344,6.3080854415893555,0.001,112285,5.636298656463623
2648,124740,627.64,-38.52411107,47,348,12.600517272949219,0.001,114739,3.739856243133545
2722,127447,636.45,-44.864873010000004,46,352,7.163239479064941,0.001,117446,5.258108139038086
2788,129875,636.97,-37.44252779,46,356,8.533008575439453,0.001,119874,4.366855621337891
2886,133408,656.4,-33.07587564999999,46,360,9.07335090637207,0.001,123407,6.08864164352417
2954,135851,668.84,-35.262323280000004,45,364,7.330617904663086,0.001,125850,2.5670857429504395
3053,139401,682.75,-32.49158173,45,368,8.494625091552734,0.001,129400,7.729996681213379
3154,142998,698.27,-30.74454891999999,45,372,38.374176025390625,0.001,132997,2.435830593109131
3265,146949,718.7,-31.03629212999999,44,376,42.907005310058594,0.001,136948,7.2702484130859375
3363,150340,729.3,-24.77276723000001,44,380,20.093238830566406,0.001,140339,7.361076354980469
3449,153321,724.6,-16.764400300000002,44,384,9.371682167053223,0.001,143320,6.326079368591309
3545,156666,726.41,-10.795853880000003,44,388,4.886594772338867,0.001,146665,0.866307258605957
3646,160108,741.94,-9.42570394,43,392,19.652565002441406,0.001,150107,7.033942222595215
3763,164108,758.29,-2.778963399999999,43,396,8.07675838470459,0.001,154107,3.3761892318725586
3881,168108,764.89,-6.495604189999999,43,400,61.4437370300293,0.001,158107,6.50761604309082
3994,171965,770.99,-2.2571042299999977,43,404,67.59194946289062,0.001,161964,4.4072346687316895
4102,175638,782.28,-3.1483383899999966,42,408,5.327445983886719,0.001,165637,5.591385364532471
4217,179543,792.24,0.57107326,42,412,14.16172981262207,0.001,169542,5.225247859954834
4292,182083,782.83,12.89789911,42,416,10.028404235839844,0.001,172082,5.484320163726807
4384,185193,786.29,21.776037350000003,42,420,9.704608917236328,0.001,175192,2.994321346282959
4490,188802,798.45,24.800557339999997,42,424,10.989643096923828,0.001,178801,0.8096931576728821
4603,192638,806.41,24.572752640000004,41,428,7.11275577545166,0.001,182637,5.067443370819092
4722,196638,807.71,20.04973527,41,432,10.008113861083984,0.001,186637,2.763413667678833
4820,199922,813.54,21.35588378,41,436,11.471450805664062,0.001,189921,3.157693386077881
4938,203904,839.51,16.259184979999997,41,440,30.757492065429688,0.001,193903,1.8651992082595825
5022,206728,844.42,13.794470100000003,41,444,52.45722198486328,0.001,196727,1.0107436180114746
5104,209491,847.51,22.40722873,41,448,8.177474975585938,0.001,199490,0.8375453352928162
5184,212177,847.3,26.81404975,40,452,5.647617340087891,0.001,202176,1.2308615446090698
5295,215897,860.22,28.881487459999995,40,456,8.323294639587402,0.001,205896,2.492373466491699
5384,218894,854.86,37.26969603,40,460,126.86984252929688,0.001,208893,0.17901429533958435
5492,222521,866.7,44.313506589999996,40,464,5.415931701660156,0.001,212520,3.0648319721221924
5573,225239,858.38,49.186782780000016,40,468,15.939790725708008,0.001,215238,-1.7127869129180908
5658,228070,850.72,56.35325146999999,40,472,5.340573310852051,0.001,218069,-1.143768072128296
5756,231309,843.6,62.27458896,40,476,5.184789657592773,0.001,221308,-1.4564789533615112
5851,234451,841.11,64.44394755999998,40,480,5.294086933135986,0.001,224450,-0.20072142779827118
5928,236987,836.66,65.78141274,39,484,8.320477485656738,0.001,226986,0.35967233777046204
6013,239807,831.41,74.30164990999998,39,488,6.613064765930176,0.001,229806,0.3883207440376282
6071,241733,816.25,78.18849225,39,492,6.737973213195801,0.001,231732,-0.3806956708431244
