rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates
336.32,38122,144,-170.80930878999996,71,531,0.001,51.4442138671875,-1.8135312795639038,28121
351.14,40032,148,-166.59274635000003,70,568,0.001,8.313458442687988,-5.213961601257324,30031
361.92,41491,152,-153.95701697,69,595,0.001,19.95327377319336,-3.6215596199035645,31490
367.71,42548,156,-144.82764831999998,69,615,0.001,10.172164916992188,-3.3263492584228516,32547
380.89,44247,160,-139.63017163000004,68,647,0.001,15.127254486083984,-5.983092308044434,34246
387.78,45376,164,-134.92873123,67,669,0.001,22.33051300048828,-6.773026466369629,35375
397.81,46815,168,-124.59186247,67,696,0.001,18.11161231994629,-6.708526134490967,36814
401.7,47729,172,-116.3729232,66,713,0.001,11.418046951293945,-5.770202159881592,37728
406.12,48720,176,-110.03571407999999,66,732,0.001,43.54290008544922,-9.425593376159668,38719
417.06,50238,180,-105.95922209,65,761,0.001,9.220020294189453,-9.109460830688477,40237
429.07,51802,184,-91.55841842000001,65,790,0.001,18.995723724365234,-9.043838500976562,41801
437.03,53119,188,-82.85140617,65,816,0.001,38.00025939941406,-8.296500205993652,43118
447.78,54741,192,-66.46984245,64,847,0.001,61.94964599609375,-6.741259574890137,44740
457.6,56341,196,-47.46792222999999,64,877,0.001,20.923828125,-9.500723838806152,46340
463.28,57681,200,-22.70601858,63,903,0.001,7.265451431274414,-8.693946838378906,47680
471.97,59237,204,2.5589475000000026,63,933,0.001,15.957963943481445,-6.543807029724121,49236
458.42,60602,208,15.522566749999996,63,960,0.001,59.748355865478516,-7.3336591720581055,50601
441.94,62831,212,22.07679717,62,1004,0.001,88.692138671875,-8.225117683410645,52830
430.06,64083,216,33.83212348,62,1028,0.001,9.62260627746582,-8.863717079162598,54082
418.56,65926,220,42.052961690000004,61,1065,0.001,14.96566390991211,-9.352445602416992,55925
428.24,68599,224,40.7194516,61,1118,0.001,10.087167739868164,-10.05756950378418,58598
414.75,70253,228,51.86535885,61,1151,0.001,105.02176666259766,-7.558506488800049,60252
398.19,71631,232,59.74963827,60,1179,0.001,13.234882354736328,-9.108138084411621,61630
375.33,72633,236,60.182752810000004,60,1199,0.001,8.695558547973633,-8.609306335449219,62632
367.35,73470,240,56.3744842,60,1216,0.001,113.99165344238281,-9.733835220336914,63469
363.33,74455,244,56.30353475,60,1237,0.001,16.69369125366211,-7.751056671142578,64454
361.39,76171,248,70.29534483999998,59,1272,0.001,14.844034194946289,-9.443714141845703,66170
365.86,78077,252,64.3585054,59,1313,0.001,140.35177612304688,-10.073293685913086,68076
368.69,79417,256,67.38748566999999,59,1343,0.001,142.26437377929688,-9.881003379821777,69416
374.9,81737,260,74.48073677000001,58,1396,0.001,10.26678466796875,-7.922646522521973,71736
382.88,83664,264,78.97335518,57,1442,0.001,11.561639785766602,-11.951834678649902,73663
391.0,85915,268,82.58343449,57,1498,0.001,10.440845489501953,-9.082103729248047,75914
393.72,87101,272,87.66325033000001,56,1528,0.001,17.926671981811523,-9.578197479248047,77100
396.98,88418,276,95.37165351000002,56,1562,0.001,9.17429256439209,-7.416332244873047,78417
393.77,89615,280,105.76057650000001,56,1592,0.001,12.109878540039062,-8.620999336242676,79614
401.44,91946,284,99.4753687,55,1651,0.001,6.837796688079834,-9.937090873718262,81945
405.9,93709,288,99.70873037000001,55,1697,0.001,54.35987091064453,-9.716981887817383,83708
409.63,95704,292,94.45467199000001,54,1748,0.001,5.408526420593262,-8.777681350708008,85703
419.09,98250,296,91.62661842,54,1814,0.001,65.41808319091797,-8.943314552307129,88249
423.68,100049,300,92.93838007000001,53,1860,0.001,19.03229522705078,-10.514927864074707,90048
433.12,102549,304,85.70612963000002,53,1924,0.001,14.367630004882812,-8.224946022033691,92548
437.11,104313,308,81.50328677000002,52,1970,0.001,41.17145919799805,-10.58375072479248,94312
440.63,106894,312,85.24330644999998,52,2036,0.001,6.501941680908203,-10.191656112670898,96893
451.98,109281,316,80.17527689000002,52,2097,0.001,14.680665969848633,-11.249605178833008,99280
458.55,111781,320,79.63513473,51,2161,0.001,14.77328109741211,-13.26343059539795,101780
451.06,113705,324,74.58769491,51,2211,0.001,10.032699584960938,-10.477097511291504,103704
464.62,116715,328,65.42342546,50,2289,0.001,22.361631393432617,-10.301816940307617,106714
477.48,119379,332,67.6906363,50,2359,0.001,55.136314392089844,-10.035619735717773,109378
492.22,121855,336,69.78746803999998,50,2423,0.001,84.29086303710938,-9.041849136352539,111854
507.69,124239,340,68.59128293999999,49,2485,0.001,57.53797912597656,-5.8299241065979,114238
527.46,127201,344,71.25977563,49,2562,0.001,29.82487678527832,-5.745948791503906,117200
535.75,129746,348,59.08842435,49,2629,0.001,23.618186950683594,-8.758260726928711,119745
550.5,133127,352,59.36024911,48,2718,0.001,6.776669502258301,-8.198225021362305,123126
557.89,135206,356,57.24893349999999,48,2774,0.001,16.629032135009766,-5.068572044372559,125205
568.04,138541,360,54.86907964999998,48,2863,0.001,48.19144821166992,-8.216591835021973,128540
571.97,140861,364,49.90340514,48,2925,0.001,14.396915435791016,-5.925707817077637,130860
578.58,143773,368,51.49721529000001,47,3005,0.001,64.15723419189453,-5.413311004638672,133772
580.83,145184,372,53.179468180000015,47,3044,0.001,4.613787651062012,-8.876800537109375,135183
591.33,147551,376,56.05930107000001,47,3109,0.001,7.866922378540039,-5.715656757354736,137550
592.75,148890,380,56.41047974,47,3146,0.001,11.787548065185547,-7.859766006469727,138889
583.02,150248,384,60.99729859999999,47,3184,0.001,19.41948127746582,-9.653687477111816,140247
578.46,151555,388,65.83725047000001,47,3219,0.001,9.728412628173828,-7.640903472900391,141554
