episode_num,cumulative_reward,mean_reward,cumulative_reward_energy_term,mean_reward_energy_term,cumulative_reward_comfort_term,mean_reward_comfort_term,cumulative_abs_energy_penalty,mean_abs_energy_penalty,cumulative_abs_comfort_penalty,mean_abs_comfort_penalty,cumulative_power_demand,mean_power_demand,cumulative_temperature_violation,mean_temperature_violation,comfort_violation_time (%),length (timesteps),time_elapsed (hours)
5,-6255.511649572947,-0.1785248758439768,-4403.818128231223,-0.12567974110248925,-1851.6935213417235,-0.05284513474148754,-88076362.56462447,-2513.5948220497853,-3703.387042683447,-0.10569026948297508,88076362.56462447,2513.5948220497853,3703.387042683447,0.10569026948297508,20.281955423646586,35041,8760.0
6,-5914.380100340527,-0.16878938642524335,-4422.852782008495,-0.12622296752307346,-1491.5273183320319,-0.04256641890216986,-88457055.6401699,-2524.45935046147,-2983.0546366640638,-0.08513283780433972,88457055.6401699,2524.45935046147,2983.0546366640638,0.08513283780433972,18.34422533603493,35041,8760.0
7,-5739.949190364322,-0.16381133534144754,-4369.306577672527,-0.12469482242216116,-1370.642612691794,-0.03911651291928636,-87386131.55345054,-2493.896448443223,-2741.285225383588,-0.07823302583857272,87386131.55345054,2493.896448443223,2741.285225383588,0.07823302583857272,17.821979966325163,35041,8760.0
8,-5598.284157468618,-0.1597683834894012,-4336.97948781618,-0.12377224565685446,-1261.3046696524382,-0.03599613783254675,-86739589.75632359,-2475.444913137089,-2522.6093393048764,-0.0719922756650935,86739589.75632359,2475.444913137089,2522.6093393048764,0.0719922756650935,17.17416740389829,35041,8760.0
9,-5576.826986578211,-0.1591560213064558,-4347.566814312309,-0.12407439538562527,-1229.2601722659024,-0.03508162592083055,-86951336.28624617,-2481.4879077125047,-2458.5203445318048,-0.0701632518416611,86951336.28624617,2481.4879077125047,2458.5203445318048,0.0701632518416611,16.743243628891868,35041,8760.0
10,-5482.721677693035,-0.15647036751407065,-4363.132510499366,-0.1245186218749819,-1119.589167193669,-0.03195174563908873,-87262650.20998731,-2490.3724374996377,-2239.178334387338,-0.06390349127817746,87262650.20998731,2490.3724374996377,2239.178334387338,0.06390349127817746,15.844296681030793,35041,8760.0
11,-5456.650971580391,-0.15573078488485378,-4399.038235477537,-0.12554691159786344,-1057.6127361028553,-0.030183873286990362,-87980764.70955072,-2510.9382319572683,-2115.2254722057105,-0.060367746573980724,87980764.70955072,2510.9382319572683,2115.2254722057105,0.060367746573980724,15.605022831050228,35040,8759.75
12,-5431.473164304603,-0.15501221964966475,-4397.567348048653,-0.12550493301888332,-1033.90581625595,-0.029507286630781414,-87951346.96097307,-2510.098660377667,-2067.8116325119,-0.05901457326156283,87951346.96097307,2510.098660377667,2067.8116325119,0.05901457326156283,15.271118721461189,35040,8759.75
13,-5384.809523055339,-0.15367607086345145,-4400.432287430346,-0.12558311322575189,-984.3772356249925,-0.028092957637699558,-88008645.74860692,-2511.662264515038,-1968.754471249985,-0.056185915275399116,88008645.74860692,2511.662264515038,1968.754471249985,0.056185915275399116,14.70277674723895,35041,8760.0
14,-5320.032707807356,-0.1518274174602556,-4438.383377140116,-0.12666619226998047,-881.6493306672411,-0.025161225190275145,-88767667.5428023,-2533.323845399609,-1763.2986613344822,-0.05032245038055029,88767667.5428023,2533.323845399609,1763.2986613344822,0.05032245038055029,14.220484575211895,35041,8760.0
