rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/critic_loss,train/learning_rate,train/ent_coef,train/actor_loss,train/n_updates
1000.0,141227,236,-32.79000921,50,2811,0.9562523365020752,0.0003,0.10000000149011612,8.932470321655273,131226
1000.0,145227,240,-32.541655930000005,50,2900,0.6115226745605469,0.0003,0.10000000149011612,8.278894424438477,135226
1000.0,149227,244,-32.624292139999994,49,2988,0.6712133884429932,0.0003,0.10000000149011612,7.767251014709473,139226
1000.0,153227,248,-30.701495240000003,49,3077,0.8055049180984497,0.0003,0.10000000149011612,7.355693817138672,143226
1000.0,157227,252,-30.167069299999998,49,3165,1.5830199718475342,0.0003,0.10000000149011612,8.857759475708008,147226
991.16,160343,256,-30.10406363,49,3235,1.2881691455841064,0.0003,0.10000000149011612,9.03104019165039,150342
991.16,164343,260,-30.76238452,49,3323,1.4307783842086792,0.0003,0.10000000149011612,7.306398868560791,154342
991.16,168343,264,-30.55579539,49,3412,0.9613631367683411,0.0003,0.10000000149011612,11.414739608764648,158342
991.16,172343,268,-29.701886080000005,49,3501,0.9568784832954407,0.0003,0.10000000149011612,7.591568946838379,162342
991.16,176343,272,-28.780227270000005,49,3590,0.9702303409576416,0.0003,0.10000000149011612,9.874286651611328,166342
991.16,180343,276,-28.200570150000004,49,3678,0.6026973724365234,0.0003,0.10000000149011612,4.819894313812256,170342
991.16,184343,280,-27.741147659999996,48,3767,0.4901323914527893,0.0003,0.10000000149011612,7.008385181427002,174342
991.16,188343,284,-26.686601339999996,48,3856,0.5779803991317749,0.0003,0.10000000149011612,7.985101222991943,178342
991.16,192343,288,-25.5661303,48,3945,0.5816587209701538,0.0003,0.10000000149011612,8.361286163330078,182342
991.16,196343,292,-24.885003049999995,48,4034,0.7736241817474365,0.0003,0.10000000149011612,6.474814414978027,186342
991.16,200343,296,-23.75573315,48,4123,1.3492624759674072,0.0003,0.10000000149011612,9.481472969055176,190342
991.16,204343,300,-22.826351460000005,48,4213,1.0821815729141235,0.0003,0.10000000149011612,4.580018520355225,194342
991.16,208343,304,-22.4854117,48,4303,0.5774595737457275,0.0003,0.10000000149011612,5.7871222496032715,198342
991.16,212343,308,-22.353518219999998,48,4393,0.470511257648468,0.0003,0.10000000149011612,9.178062438964844,202342
991.16,216343,312,-20.081590319999997,48,4483,0.4572784900665283,0.0003,0.10000000149011612,8.293802261352539,206342
991.16,220343,316,-18.96037726,48,4573,0.5885412693023682,0.0003,0.10000000149011612,7.966946601867676,210342
984.52,223679,320,-16.4987627,48,4648,6.576574802398682,0.0003,0.10000000149011612,8.953350067138672,213678
984.52,227679,324,-15.310712320000002,48,4738,2.3589296340942383,0.0003,0.10000000149011612,6.303244113922119,217678
984.52,231679,328,-13.308939319999997,47,4828,0.4848591089248657,0.0003,0.10000000149011612,6.5946455001831055,221678
979.64,235191,332,-10.638447659999999,47,4906,0.38609954714775085,0.0003,0.10000000149011612,6.009176254272461,225190
970.59,238286,336,-9.40376235,47,4976,4.201127529144287,0.0003,0.10000000149011612,6.043614864349365,228285
962.57,241484,340,-6.05782607,47,5048,0.5940381288528442,0.0003,0.10000000149011612,9.53864860534668,231483
962.57,245484,344,-5.07572777,47,5137,0.5162678956985474,0.0003,0.10000000149011612,5.706018924713135,235483
962.14,249441,348,-4.4796211800000005,47,5225,0.7531203031539917,0.0003,0.10000000149011612,6.567487716674805,239440
955.28,252755,352,0.2126087200000012,47,5299,0.5111956000328064,0.0003,0.10000000149011612,5.859969615936279,242754
951.89,255532,356,6.691020980000001,47,5361,1.7292678356170654,0.0003,0.10000000149011612,6.022706508636475,245531
951.89,259532,360,8.27524404,47,5450,0.9215224385261536,0.0003,0.10000000149011612,7.794250965118408,249531
