train/ent_coef,train/actor_loss,time/total_timesteps,train/learning_rate,train/n_updates,train/ent_coef_loss,time/time_elapsed,time/episodes,train/critic_loss,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean
0.053496696054935455,-32.32086944580078,95638,0.0003,95537,-0.15072062611579895,2015,164,2.862759590148926,47,127.21733633000002,521.24
0.053572602570056915,-34.120086669921875,97970,0.0003,97869,0.2754260301589966,2066,168,2.615112781524658,47,134.78323198,519.41
0.054621268063783646,-32.6842155456543,100859,0.0003,100758,-0.3995988368988037,2130,172,9.129023551940918,47,137.46963314,525.99
0.05521128699183464,-32.368316650390625,102380,0.0003,102279,-0.42536038160324097,2163,176,5.712428092956543,47,137.41025593,510.09
0.055908337235450745,-34.6367301940918,103821,0.0003,103720,0.7638200521469116,2195,180,6.620977878570557,47,150.21248389999997,492.82
0.05814839154481888,-34.25205993652344,105094,0.0003,104993,0.49091818928718567,2223,184,2.707703113555908,47,157.56899514,470.23
0.061574406921863556,-34.67797088623047,106237,0.0003,106136,-0.3686310052871704,2248,188,4.8700103759765625,47,166.89248203,442.02
0.06755270808935165,-33.193241119384766,107968,0.0003,107867,0.4973169267177582,2286,192,3.4654622077941895,47,173.96520356999997,421.41
0.07201556861400604,-34.2218017578125,108763,0.0003,108662,0.43933117389678955,2304,196,4.92426872253418,47,174.96805102000002,408.18
0.06955551356077194,-35.454742431640625,109642,0.0003,109541,-0.08803160488605499,2323,200,2.513759136199951,47,181.49624786,395.24
0.06797254830598831,-34.11407470703125,111231,0.0003,111130,-0.1575426459312439,2359,204,6.054647922515869,47,178.56682117999998,392.1
0.06433875113725662,-37.664913177490234,113524,0.0003,113423,0.9940967559814453,2409,208,4.618823528289795,47,184.47218109000002,398.27
0.06682329624891281,-37.397865295410156,114495,0.0003,114394,-0.09667940437793732,2431,212,3.657942771911621,47,185.28886255999998,395.57
0.0661153793334961,-36.28237533569336,115934,0.0003,115833,-0.051093198359012604,2462,216,3.4718661308288574,47,193.28954008,397.3
