time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates
224,49668,214.73,-119.83370736,63,784,2.021012306213379,-29.85078239440918,0.001,39667
228,50004,211.29,-119.92946036,63,790,1.4176307916641235,-29.131629943847656,0.001,40003
232,50239,209.17,-120.36587946,63,795,1.949669361114502,-29.369476318359375,0.001,40238
236,50713,209.86,-121.3122924,63,804,2.1976583003997803,-26.7509822845459,0.001,40712
240,51092,207.3,-121.41935862,62,812,1.5476633310317993,-28.101985931396484,0.001,41091
244,51493,204.67,-122.09910388000004,62,820,2.2401680946350098,-25.89017105102539,0.001,41492
248,51792,187.71,-122.0599953,62,826,3.314558267593384,-24.184682846069336,0.001,41791
252,52080,181.69,-121.4905693,62,832,2.5616931915283203,-25.24234390258789,0.001,42079
256,52291,132.97,-121.80892466000002,62,836,15.59341812133789,-25.81728172302246,0.001,42290
260,52516,98.36,-121.39855809999997,62,840,2.2668771743774414,-23.727338790893555,0.001,42515
264,52761,94.65,-120.99476247000001,62,845,1.9812633991241455,-26.2476806640625,0.001,42760
268,53159,93.34,-121.33009035,62,853,1.687688946723938,-24.737560272216797,0.001,43158
