rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/loss,train/entropy_loss,train/std,train/n_updates,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/value_loss,train/approx_kl,train/explained_variance
1245.08,-53.78777731,129024,511,63,252,0.22243162989616394,-4.053345772624016,0.664315938949585,620,-0.009693315769254696,0.18,0.0003,0.1470703125,0.6723822656553239,0.0102664605,0.3890037536621094
1249.31,-51.26478771000001,131072,511,64,256,0.13570480048656464,-4.025407984852791,0.6621882915496826,630,-0.00901980252674548,0.18,0.0003,0.120751953125,0.5299027476459741,0.008823268,0.8331508189439774
1249.31,-48.82987405000001,133120,512,65,259,0.44112327694892883,-4.018582989275456,0.6619459390640259,640,-0.006332094939716626,0.18,0.0003,0.0791015625,11.61437635421753,0.005091479,0.8113931566476822
1264.17,-46.480066600000015,135168,513,66,263,0.2057112157344818,-4.0089114382863045,0.6583027839660645,650,-0.010644691121706273,0.18,0.0003,0.14833984375,0.5850585240870714,0.009846063,0.7747596651315689
1279.46,-41.94878756,137216,514,67,266,0.2635025680065155,-3.995257464051247,0.6579889059066772,660,-0.016102355328621344,0.18,0.0003,0.163525390625,0.6319815136492253,0.011045168,0.8322649002075195
1279.46,-39.29375387000001,139264,514,68,270,0.37378349900245667,-3.976726160943508,0.6519959568977356,670,-0.010638080346689094,0.18,0.0003,0.12353515625,0.7287264505401254,0.008793252,0.8380994647741318
1268.57,-35.981194130000006,141312,515,69,274,1.1175072193145752,-3.9493647083640098,0.6495407819747925,680,-0.00558614566034521,0.18,0.0003,0.1294921875,8.160610761120916,0.008009383,0.809657409787178
1259.75,-32.992818230000005,143360,516,70,277,28.475637435913086,-3.941065040975809,0.6487994194030762,690,-0.004915013702702709,0.18,0.0003,0.077880859375,32.415369207412006,0.0073119802,0.7904993146657944
1245.26,-30.41303191,145408,516,71,281,1.8019137382507324,-3.936239218711853,0.6479122638702393,700,-0.008615635782189202,0.18,0.0003,0.1146484375,12.593174396082759,0.00986821,0.8306185603141785
1213.13,-29.89609315,147456,517,72,284,3.040877342224121,-3.9314021401107313,0.6474094390869141,710,-0.006791195397818228,0.18,0.0003,0.064111328125,38.148811500519514,0.007639769,0.9024700000882149
1204.19,-28.16128981,149504,518,73,288,71.85997772216797,-3.9314641058444977,0.6479738354682922,720,-0.003674108268751297,0.18,0.0003,0.013671875,127.1034930974245,0.0035609456,0.7904510051012039
1204.19,-25.916086130000004,151552,518,74,292,57.704833984375,-3.9299766033887864,0.6466911435127258,730,-0.005408239763710299,0.18,0.0003,0.04072265625,47.86675235629082,0.0043637147,0.9005361273884773
1181.95,-24.657415030000003,153600,519,75,295,35.1091194152832,-3.9257528237998485,0.6466068029403687,740,-0.006127463002485456,0.18,0.0003,0.084814453125,41.24705616757274,0.0068391394,0.5725740194320679
1139.77,-23.17727677,155648,519,76,299,23.719675064086914,-3.9268213056027887,0.6474330425262451,750,-0.006068109354237095,0.18,0.0003,0.06083984375,54.7541632860899,0.00599142,0.8784774169325829
1141.77,-21.1764638,157696,520,77,303,61.60136795043945,-3.9291672341525556,0.6473225355148315,760,-0.003969412279548124,0.18,0.0003,0.026025390625,82.88768089264632,0.005561116,0.8342434614896774
