time/fps,train/learning_rate,train/ent_coef_loss,time/total_timesteps,time/episodes,train/critic_loss,rollout/ep_rew_mean,train/actor_loss,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/n_updates
47,0.0003,0.3203393220901489,14400,72,0.8029190897941589,-359.42024391666666,46.274967193603516,300,200.0,0.05566927790641785,14299
47,0.0003,0.09659022092819214,15200,76,0.6613467931747437,-348.2950727763158,37.04691696166992,316,200.0,0.05311625823378563,15099
47,0.0003,-0.435635507106781,16000,80,0.6870746612548828,-338.3270042125,31.001148223876953,333,200.0,0.05266512185335159,15899
47,0.0003,-0.37880197167396545,16800,84,0.5853116512298584,-330.9802369166667,27.471904754638672,350,200.0,0.052048128098249435,16699
47,0.0003,-0.7441238164901733,17600,88,0.5012049674987793,-322.4606126931818,29.340660095214844,367,200.0,0.05039949342608452,17499
47,0.0003,-0.18095090985298157,18400,92,0.8442724943161011,-315.1718668695652,33.58253479003906,383,200.0,0.04661868140101433,18299
47,0.0003,0.5313335657119751,19200,96,0.596210241317749,-307.197039125,30.63628387451172,400,200.0,0.043726757168769836,19099
47,0.0003,-0.16780881583690643,20000,100,0.940510094165802,-300.97832450000004,30.33812713623047,417,200.0,0.042734432965517044,19899
47,0.0003,0.08046738803386688,20800,104,0.7571983933448792,-258.03531485,29.671585083007812,434,200.0,0.03951229155063629,20699
47,0.0003,-0.6813468933105469,21600,108,0.5741441249847412,-202.83359808,32.101890563964844,451,200.0,0.03897779434919357,21499
47,0.0003,-1.0042681694030762,22400,112,0.757910430431366,-162.36905411,29.304670333862305,468,200.0,0.03614787012338638,22299
47,0.0003,1.4704687595367432,23200,116,0.7457304000854492,-147.79103672,31.59646224975586,484,200.0,0.037626732140779495,23099
47,0.0003,-0.0675765722990036,24000,120,0.8840818405151367,-143.09414993000001,21.331928253173828,501,200.0,0.03711328282952309,23899
47,0.0003,-0.43472298979759216,24800,124,0.51899254322052,-146.34960542999997,27.17865753173828,518,200.0,0.04125368967652321,24699
47,0.0003,-0.654414176940918,25600,128,0.6002957820892334,-148.73736071,25.20096206665039,535,200.0,0.044822242110967636,25499
47,0.0003,0.3316512107849121,26400,132,0.6370075941085815,-144.15465076,32.006378173828125,556,200.0,0.0447714664041996,26299
47,0.0003,-0.281204491853714,27200,136,0.5817565321922302,-143.15478344,21.287708282470703,574,200.0,0.048373837023973465,27099
47,0.0003,-0.8096184730529785,28000,140,0.8087685108184814,-141.60833452,24.011137008666992,591,200.0,0.048614751547575,27899
47,0.0003,0.05358702316880226,28800,144,0.7742260694503784,-143.04992035,27.03645133972168,608,200.0,0.043108634650707245,28699
47,0.0003,0.19945205748081207,29600,148,0.6988836526870728,-141.05450818,24.788713455200195,627,200.0,0.04028959572315216,29499
46,0.0003,0.7548717260360718,30400,152,0.9184697270393372,-146.58269789,25.495485305786133,651,200.0,0.03772638738155365,30299
46,0.0003,0.10749189555644989,31200,156,0.5295508503913879,-143.30703439999996,27.5808048248291,671,200.0,0.041110809892416,31099
46,0.0003,0.3116983473300934,32000,160,0.5161295533180237,-143.36616978999996,21.588302612304688,687,200.0,0.04103540629148483,31899
46,0.0003,-0.20530226826667786,32800,164,0.5125758647918701,-140.59300274999998,22.096168518066406,704,200.0,0.03789301961660385,32699
46,0.0003,0.04298701882362366,33600,168,0.40206748247146606,-141.7008233,18.40761947631836,721,200.0,0.03936507925391197,33499
46,0.0003,0.3232097327709198,34400,172,0.3164576590061188,-140.6717439,17.60818099975586,737,200.0,0.03949950262904167,34299
46,0.0003,-0.7283079624176025,35200,176,0.2776414752006531,-139.63706680999996,20.706954956054688,754,200.0,0.037853751331567764,35099
46,0.0003,-0.5717682242393494,36000,180,0.5622848272323608,-140.85799021,23.940420150756836,771,200.0,0.036804504692554474,35899
46,0.0003,0.18484914302825928,36800,184,0.30565759539604187,-140.57867389000003,21.925670623779297,787,200.0,0.03800303116440773,36699
46,0.0003,-0.549342691898346,37600,188,0.41751816868782043,-138.49331721000001,17.424747467041016,804,200.0,0.03795669600367546,37499
46,0.0003,-0.03262699395418167,38400,192,0.3848124146461487,-138.57479735,19.256053924560547,821,200.0,0.03801855444908142,38299
46,0.0003,0.037103623151779175,39200,196,0.3458356261253357,-142.14146025,18.5635986328125,838,200.0,0.03437238559126854,39099
46,0.0003,0.3499951660633087,40000,200,0.4668789803981781,-142.34911774999998,23.352184295654297,854,200.0,0.03484547510743141,39899
46,0.0003,-0.3946992754936218,40800,204,0.4335877299308777,-138.85798529,17.589685440063477,873,200.0,0.03394268453121185,40699
