rollout/ep_len_mean,time/episodes,train/n_updates,rollout/ep_rew_mean,train/critic_loss,train/actor_loss,time/total_timesteps,train/learning_rate,time/fps,time/time_elapsed
200.0,152,30299,-156.96977071000003,2.11875581741333,47.471031188964844,30400,0.001,50,600
200.0,156,31099,-155.34523321999998,22.073575973510742,44.810306549072266,31200,0.001,50,616
200.0,160,31899,-154.18790653,5.286312580108643,45.63206481933594,32000,0.001,50,632
200.0,164,32699,-150.11239378000002,35.84784698486328,36.54653549194336,32800,0.001,50,648
200.0,168,33499,-147.66339151,8.996915817260742,38.12070083618164,33600,0.001,50,664
200.0,172,34299,-147.20801246999997,13.93592643737793,38.986419677734375,34400,0.001,50,680
200.0,176,35099,-143.40733734,8.126734733581543,34.422332763671875,35200,0.001,50,696
200.0,180,35899,-145.81744938,3.4166646003723145,41.880958557128906,36000,0.001,50,712
200.0,184,36699,-144.66865959,2.4298481941223145,44.504432678222656,36800,0.001,50,728
200.0,188,37499,-141.99914172,3.6016087532043457,35.65867233276367,37600,0.001,50,744
200.0,192,38299,-136.10081351999997,2.640979290008545,38.910728454589844,38400,0.001,50,760
200.0,196,39099,-133.59438264999997,2.8056559562683105,37.138397216796875,39200,0.001,50,776
200.0,200,39899,-133.44467912,4.058882236480713,33.44984436035156,40000,0.001,50,792
200.0,204,40699,-130.28779405999998,15.678241729736328,35.53118133544922,40800,0.001,50,808
200.0,208,41499,-129.12035108,2.371288299560547,35.48936080932617,41600,0.001,50,824
200.0,212,42299,-130.32117749,3.109288215637207,39.48261642456055,42400,0.001,50,840
200.0,216,43099,-129.21987769,2.447732925415039,38.283119201660156,43200,0.001,50,856
200.0,220,43899,-124.17237587000001,2.518906593322754,36.18935775756836,44000,0.001,50,872
200.0,224,44699,-124.22224329000004,17.27532196044922,42.80559539794922,44800,0.001,50,888
200.0,228,45499,-125.43157756000001,16.54574966430664,33.31252670288086,45600,0.001,50,905
200.0,232,46299,-125.80342726999999,3.9631898403167725,39.34386444091797,46400,0.001,50,921
200.0,236,47099,-127.63793670000001,6.638823509216309,24.533275604248047,47200,0.001,50,937
200.0,240,47899,-132.30573132,2.3015992641448975,25.67038345336914,48000,0.001,50,954
200.0,244,48699,-132.04505668,3.896749973297119,35.294857025146484,48800,0.001,50,970
200.0,248,49499,-131.70339408,13.724365234375,29.702646255493164,49600,0.001,50,987
