train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,time/fps,train/n_updates
41.36715316772461,-130.04687283,56101,0.001,236,1075,219.42,-220.2676544189453,52,56000
67.92548370361328,-132.5788354,57341,0.001,240,1100,228.46,-224.26071166992188,52,57240
73.18661499023438,-132.90571452999998,57953,0.001,244,1113,223.32,-236.60565185546875,52,57852
33.53863525390625,-138.03182776,58929,0.001,248,1133,216.34,-221.502685546875,52,58828
136.59576416015625,-140.30059984,60008,0.001,252,1155,204.82,-220.76168823242188,51,59907
89.47513580322266,-142.35578872,60529,0.001,256,1166,195.12,-215.03648376464844,51,60428
63.31657028198242,-138.96454296,61367,0.001,260,1183,191.98,-226.5292205810547,51,61266
40.65525817871094,-138.84933203999998,62388,0.001,264,1204,192.62,-216.09701538085938,51,62287
34.48099136352539,-134.21494571,62709,0.001,268,1210,181.23,-230.02127075195312,51,62608
81.08168029785156,-130.64085446,63158,0.001,272,1220,177.86,-221.59609985351562,51,63057
37.99396514892578,-127.16796178999999,63850,0.001,276,1234,166.74,-209.1774444580078,51,63749
379.0668029785156,-130.95299734,64628,0.001,280,1250,169.52,-224.4222869873047,51,64527
150.52597045898438,-126.69089716999997,65231,0.001,284,1263,161.67,-215.66346740722656,51,65130
61.36589050292969,-125.61906902999998,65649,0.001,288,1272,159.19,-217.25418090820312,51,65548
159.4846649169922,-124.81083720999999,66270,0.001,292,1285,162.58,-220.69784545898438,51,66169
55.50492858886719,-122.55230052,67446,0.001,296,1310,170.04,-227.95840454101562,51,67345
345.2792053222656,-127.68789241000002,67930,0.001,300,1321,169.02,-224.89910888671875,51,67829
63.25751495361328,-127.16315780000001,68277,0.001,304,1328,168.38,-216.75634765625,51,68176
78.39214324951172,-122.13138857000001,70147,0.001,308,1369,181.84,-213.58619689941406,51,70046
70.74351501464844,-121.46517678000001,71101,0.001,312,1390,185.92,-228.19924926757812,51,71000
104.98571014404297,-120.44948519999998,71740,0.001,316,1405,185.9,-209.97909545898438,51,71639
392.25390625,-126.32300156000001,73085,0.001,320,1435,194.59,-215.84906005859375,50,72984
208.07162475585938,-129.49622479,73865,0.001,324,1453,198.88,-214.9717254638672,50,73764
193.6368865966797,-125.43797303000002,74386,0.001,328,1465,195.8,-227.76222229003906,50,74285
44.94879150390625,-128.91247531,75410,0.001,332,1490,199.37,-212.65957641601562,50,75309
901.3328857421875,-128.29419122999997,75935,0.001,336,1502,198.34,-222.00677490234375,50,75834
61.203983306884766,-128.0220096,78090,0.001,340,1553,207.49,-206.56521606445312,50,77989
166.14013671875,-134.08656472,79115,0.001,344,1578,211.62,-207.73475646972656,50,79014
192.6634063720703,-135.31408343,80052,0.001,348,1601,211.23,-197.00540161132812,49,79951
67.11917877197266,-135.27029031,81078,0.001,352,1626,210.7,-193.33224487304688,49,80977
355.8571472167969,-137.50510683000002,82718,0.001,356,1666,221.89,-195.10218811035156,49,82617
327.77685546875,-140.32494298,83498,0.001,360,1686,221.31,-201.76316833496094,49,83397
55.90543746948242,-140.59921928999998,84095,0.001,364,1701,217.07,-194.68324279785156,49,83994
188.11102294921875,-152.51345940000002,85042,0.001,368,1725,223.33,-188.9053955078125,49,84941
121.92353820800781,-158.7199007,85830,0.001,372,1745,226.72,-196.87210083007812,49,85729
60.17243957519531,-168.99705956000003,86452,0.001,376,1761,226.02,-190.34718322753906,49,86351
1125.802001953125,-168.05748501999997,86994,0.001,380,1775,223.66,-183.35369873046875,48,86893
158.8126678466797,-171.37824290000003,87750,0.001,384,1794,225.19,-180.16610717773438,48,87649
131.61073303222656,-170.40300410999996,88727,0.001,388,1819,230.78,-171.424072265625,48,88626
312.3684997558594,-179.29712398000004,89458,0.001,392,1838,231.88,-189.91519165039062,48,89357
92.92267608642578,-180.69238779000003,90101,0.001,396,1855,226.55,-190.96945190429688,48,90000
68.91764831542969,-177.93871804999998,90821,0.001,400,1873,228.91,-177.15798950195312,48,90720
75.24127197265625,-177.81529821000004,91509,0.001,404,1891,232.32,-180.42811584472656,48,91408
55.24097442626953,-180.89779036999997,93044,0.001,408,1930,228.97,-176.2529296875,48,92943
107.98898315429688,-178.67627586000003,94642,0.001,412,1971,235.41,-168.0435791015625,48,94541
80.55126953125,-179.89434845,95678,0.001,416,1998,239.38,-174.508056640625,47,95577
29.213422775268555,-177.84300646,96367,0.001,420,2016,232.82,-188.68865966796875,47,96266
76.28255462646484,-178.73265036,97908,0.001,424,2056,240.43,-172.75662231445312,47,97807
36.608665466308594,-180.35817866000002,99050,0.001,428,2085,246.64,-179.5126190185547,47,98949
77.33269500732422,-180.44740547999993,99782,0.001,432,2104,243.72,-174.77757263183594,47,99681
