time/episodes,time/total_timesteps,train/critic_loss,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/learning_rate,rollout/ep_len_mean,train/actor_loss
204,33114,21.546262741088867,33013,-100.37065562,632,52,0.001,152.05,-89.38291931152344
208,33683,98.58452606201172,33582,-93.87446666,643,52,0.001,150.13,-98.31067657470703
212,34180,14.584135055541992,34079,-97.69660687000001,652,52,0.001,150.14,-93.68082427978516
216,35130,28.969982147216797,35029,-101.31353776999998,671,52,0.001,155.73,-99.7517318725586
220,35812,89.92312622070312,35711,-102.05607748,684,52,0.001,158.13,-97.08551788330078
224,36342,69.40869903564453,36241,-106.32290920999998,694,52,0.001,156.97,-107.8824462890625
228,36844,84.66002655029297,36743,-113.25913901000001,704,52,0.001,157.61,-100.119873046875
232,37705,60.42400360107422,37604,-115.66178971999997,720,52,0.001,160.42,-102.90528869628906
236,38408,119.28324890136719,38307,-120.07696711999999,734,52,0.001,160.68,-106.0990219116211
240,38988,39.947349548339844,38887,-122.15629840999998,745,52,0.001,160.73,-108.80525207519531
244,39800,33.757713317871094,39699,-122.75752113,761,52,0.001,163.84,-110.31076049804688
248,41055,34.657649993896484,40954,-129.60391093,785,52,0.001,172.46,-114.14030456542969
252,41851,29.361251831054688,41750,-133.35061452999997,801,52,0.001,176.25,-109.17594909667969
256,42550,73.57112121582031,42449,-136.36350234999998,814,52,0.001,178.22,-110.95648956298828
260,43423,26.020408630371094,43322,-139.12677201999998,831,52,0.001,180.89,-112.89727020263672
264,44296,82.82215118408203,44195,-142.06980973,848,52,0.001,184.64,-116.07713317871094
268,45049,160.54354858398438,44948,-141.01333768999996,863,52,0.001,186.66,-107.4550552368164
