time/total_timesteps,train/critic_loss,train/actor_loss,train/learning_rate,rollout/ep_rew_mean,time/episodes,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates
19831,44.92539596557617,-137.22239685058594,0.001,-187.96237500000004,104,49,194.8,403,19730
21105,16.83833885192871,-139.34005737304688,0.001,-173.43152433,108,49,203.96,429,21004
21629,801.9977416992188,-154.0194091796875,0.001,-172.52463463,112,49,203.02,440,21528
22338,31.79584503173828,-154.49264526367188,0.001,-173.44534965000003,116,49,200.54,454,22237
22929,55.226722717285156,-151.5534210205078,0.001,-182.22793436000003,120,49,199.07,466,22828
23428,39.87964630126953,-151.20367431640625,0.001,-191.60995118000002,124,49,197.83,476,23327
24019,19.189970016479492,-160.3662567138672,0.001,-197.7756324,128,49,195.31,487,23918
24700,22.709619522094727,-153.7628173828125,0.001,-202.61917841000002,132,49,194.57,501,24599
25279,16.513294219970703,-158.4929962158203,0.001,-201.85395215,136,49,190.12,513,25178
25902,78.03890228271484,-148.69268798828125,0.001,-194.91696555000001,140,49,186.24,525,25801
27070,40.60834503173828,-169.8043975830078,0.001,-185.10476547000002,144,49,189.47,549,26969
27634,19.47178840637207,-181.72314453125,0.001,-187.59811126,148,49,180.9,560,27533
28196,21.862598419189453,-175.97842407226562,0.001,-180.76295361000007,152,49,169.25,571,28095
28803,116.04376983642578,-184.15902709960938,0.001,-186.88869277999999,156,49,168.9,584,28702
29498,14.76668930053711,-186.87652587890625,0.001,-186.50333102999997,160,49,170.24,598,29397
30229,95.36734771728516,-194.56582641601562,0.001,-185.18277010999998,164,49,171.17,612,30128
30712,24.829410552978516,-191.548095703125,0.001,-186.15215663999996,168,49,170.02,622,30611
31419,27.02460289001465,-190.14974975585938,0.001,-176.74625835000003,172,49,167.58,636,31318
32795,16.066862106323242,-200.15341186523438,0.001,-171.60541955,176,49,175.79,664,32694
33405,45.354461669921875,-212.24044799804688,0.001,-168.12060089000002,180,49,174.99,676,33304
34250,38.45709228515625,-205.0965118408203,0.001,-164.87528985,184,49,179.26,693,34149
34801,30.86928939819336,-197.03952026367188,0.001,-163.01779413999998,188,49,178.4,704,34700
36154,27.18485450744629,-210.29241943359375,0.001,-153.06456934,192,49,180.33,732,36053
37093,76.41731262207031,-226.9353485107422,0.001,-147.52434473999998,196,49,185.45,750,36992
37574,95.72406005859375,-233.80816650390625,0.001,-147.48970512000002,200,49,186.13,760,37473
38435,54.79161834716797,-227.8089599609375,0.001,-150.55690771000002,204,49,186.04,778,38334
40043,115.2098159790039,-244.04714965820312,0.001,-147.12369641,208,49,189.38,811,39942
40982,58.38449478149414,-265.46868896484375,0.001,-140.27301612000002,212,49,193.53,835,40881
41480,154.6131591796875,-252.0083465576172,0.001,-132.61190441000002,216,49,191.42,846,41379
43096,253.32080078125,-268.883056640625,0.001,-121.00957279999999,220,49,201.67,879,42995
43925,29.46926498413086,-274.1055603027344,0.001,-108.82466846,224,49,204.97,896,43824
45415,138.76708984375,-288.24224853515625,0.001,-107.33901264999999,228,49,213.96,926,45314
46684,128.85479736328125,-292.04656982421875,0.001,-106.01318438999999,232,49,219.84,952,46583
48042,59.03795623779297,-312.1374816894531,0.001,-105.12450172000001,236,48,227.63,980,47941
49330,130.5994110107422,-325.64056396484375,0.001,-108.27687986000001,240,48,234.28,1007,49229
50545,109.74395751953125,-330.37921142578125,0.001,-118.23666346,244,48,234.75,1032,50444
51897,305.6922912597656,-334.48095703125,0.001,-112.90096487000001,248,48,242.63,1061,51796
53385,57.43242645263672,-353.84588623046875,0.001,-113.73380474,252,48,251.89,1092,53284
54562,732.6365966796875,-369.4583435058594,0.001,-107.90207116000002,256,48,257.59,1117,54461
55284,75.2005615234375,-378.45916748046875,0.001,-109.04487801,260,48,257.86,1133,55183
56979,188.02420043945312,-373.5827941894531,0.001,-118.34296585,264,48,267.5,1168,56878
57670,116.37792205810547,-385.7098083496094,0.001,-123.13012192999999,268,48,269.58,1184,57569
58535,83.49493408203125,-397.60345458984375,0.001,-128.34194200999997,272,48,271.16,1203,58434
59347,160.3723907470703,-385.679931640625,0.001,-136.3544116,276,48,265.52,1220,59246
60212,152.32876586914062,-403.4035949707031,0.001,-140.88502007,280,48,268.07,1239,60111
60850,77.70188903808594,-413.94915771484375,0.001,-151.19740033,284,48,266.0,1252,60749
61294,1076.06103515625,-424.9576416015625,0.001,-163.57729973,288,48,264.93,1262,61193
62144,120.10279083251953,-396.61822509765625,0.001,-173.78495439999998,292,48,259.9,1281,62043
62542,192.44236755371094,-421.24969482421875,0.001,-191.28582126999999,296,48,254.49,1290,62441
63202,66.47543334960938,-439.49102783203125,0.001,-197.27794081,300,48,256.28,1304,63101
63996,91.40509796142578,-417.4757385253906,0.001,-197.83519182000003,304,48,255.61,1322,63895
64790,210.4698944091797,-415.55279541015625,0.001,-201.32821059000003,308,48,247.47,1339,64689
65223,331.1708068847656,-434.68035888671875,0.001,-211.79347723000004,312,48,242.41,1349,65122
66272,123.54190063476562,-437.56475830078125,0.001,-210.48027118000002,316,48,247.92,1373,66171
68394,98.7878646850586,-475.9043884277344,0.001,-213.23935439000002,320,48,252.98,1422,68293
70944,1476.876708984375,-482.21978759765625,0.001,-213.44383103,324,47,270.19,1482,70843
72068,203.14686584472656,-495.6185607910156,0.001,-210.78510865,328,47,266.53,1509,71967
73010,1013.7902221679688,-499.9378967285156,0.001,-211.02720645999995,332,47,263.26,1532,72909
74316,180.57582092285156,-532.8600463867188,0.001,-215.84474698999998,336,47,262.74,1564,74215
76346,201.02369689941406,-515.3011474609375,0.001,-216.2746235,340,47,270.16,1615,76245
77423,165.61001586914062,-526.1022338867188,0.001,-213.04327851999997,344,47,268.78,1642,77322
77987,204.65402221679688,-546.66748046875,0.001,-213.15377522999998,348,47,260.9,1656,77886
79986,115.04508972167969,-559.9481201171875,0.001,-214.18737769000003,352,46,266.01,1706,79885
80519,162.64324951171875,-566.1710205078125,0.001,-215.36578938,356,46,259.57,1720,80418
82874,1383.260498046875,-552.4483642578125,0.001,-214.00309262000002,360,46,275.9,1779,82773
83740,73.33849334716797,-583.387939453125,0.001,-210.85925117000002,364,46,267.61,1805,83639
85282,228.73471069335938,-569.357666015625,0.001,-207.20632250999998,368,46,276.12,1844,85181
85940,179.67996215820312,-572.8919677734375,0.001,-201.91082324,372,46,274.05,1861,85839
86998,4400.73291015625,-585.3165283203125,0.001,-197.66471631999997,376,46,276.51,1889,86897
87481,135.64186096191406,-573.804931640625,0.001,-193.92222904,380,46,272.69,1901,87380
88172,192.9681396484375,-601.640869140625,0.001,-190.68956969,384,45,273.22,1919,88071
88747,231.789306640625,-582.7407836914062,0.001,-185.44706825999998,388,45,274.53,1934,88646
89597,226.89453125,-595.5075073242188,0.001,-185.35583956000002,392,45,274.53,1955,89496
90666,141.50967407226562,-585.3648681640625,0.001,-176.38532802000006,396,45,281.24,1983,90565
91235,341.48870849609375,-616.4774169921875,0.001,-170.50250592,400,45,280.33,1998,91134
92065,680.883056640625,-620.740234375,0.001,-171.33502148000002,404,45,280.69,2019,91964
92733,443.4095764160156,-627.296875,0.001,-166.01204984,408,45,279.43,2036,92632
93361,1040.774658203125,-633.8803100585938,0.001,-160.77602631000002,412,45,281.38,2053,93260
95047,2097.21435546875,-636.8286743164062,0.001,-160.29559457999997,416,45,287.75,2096,94946
95959,140.30035400390625,-613.5623779296875,0.001,-157.65976907,420,45,275.65,2119,95858
96423,211.67832946777344,-634.0263671875,0.001,-167.47176939000002,424,45,254.79,2131,96322
97075,203.49855041503906,-631.7263793945312,0.001,-173.67610773999996,428,45,250.07,2148,96974
97605,323.497802734375,-629.1258544921875,0.001,-181.64720821000003,432,45,245.95,2162,97504
97995,451.1695861816406,-631.3435668945312,0.001,-184.24968531000002,436,45,236.79,2172,97894
98830,311.7676086425781,-625.4962158203125,0.001,-186.47518797,440,45,224.84,2194,98729
99571,380.0651550292969,-647.716796875,0.001,-191.89578213000001,444,44,221.48,2214,99470
