time/episodes,train/actor_loss,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/n_updates,train/critic_loss,time/time_elapsed
196,-135.7079315185547,49,-119.38927426000001,25951,0.001,127.8,25850,326.7569885253906,523
200,-144.7669219970703,49,-130.35246353,26931,0.001,132.92,26830,41.0113639831543,542
204,-160.90806579589844,49,-133.53815028,29203,0.001,151.15,29102,65.3031234741211,587
208,-169.0684814453125,49,-139.30902550000002,30801,0.001,163.36,30700,113.03533935546875,618
212,-175.06643676757812,49,-143.95834702000005,31529,0.001,167.38,31428,38.67767333984375,632
216,-175.3587188720703,49,-142.16981969999998,32170,0.001,168.06,32069,91.8988265991211,646
220,-179.68685913085938,49,-138.29465282,32694,0.001,167.32,32593,312.5149230957031,656
224,-196.5966796875,49,-141.09618922,33773,0.001,174.2,33672,164.97677612304688,678
228,-202.1664276123047,49,-145.36767827,35864,0.001,188.49,35763,55.82269287109375,719
232,-202.62203979492188,49,-142.81230057,36417,0.001,190.5,36316,59.65265655517578,730
236,-202.123291015625,49,-139.08480689,37746,0.001,199.84,37645,216.11563110351562,756
240,-215.0232391357422,49,-137.58738501,38213,0.001,200.47,38112,154.78030395507812,766
244,-213.5988311767578,49,-137.4864503,38570,0.001,199.18,38469,60.737545013427734,773
248,-208.77560424804688,49,-136.99786431,38904,0.001,197.86,38803,107.00992584228516,779
252,-211.12864685058594,49,-137.38208803,39306,0.001,196.45,39205,50.679466247558594,787
256,-208.81503295898438,49,-135.5435727,39731,0.001,195.65,39630,104.50420379638672,796
260,-215.83828735351562,49,-133.80487705,40318,0.001,197.77,40217,560.7221069335938,808
264,-216.64971923828125,49,-131.12785072,41577,0.001,206.06,41476,53.86166000366211,833
268,-233.7484588623047,49,-132.5677805,42887,0.001,214.35,42786,173.40158081054688,859
272,-235.88998413085938,49,-130.90134679000002,43254,0.001,213.56,43153,36.829566955566406,866
