time/episodes,rollout/ep_len_mean,train/n_updates,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/fps,train/learning_rate,time/total_timesteps,time/time_elapsed
184,217.06,36021,-188.3863525390625,45.05840301513672,-129.45079909000003,51,0.001,36122,706
188,218.01,36918,-188.32240295410156,97.8270492553711,-132.28706665,51,0.001,37019,723
192,212.98,38130,-194.50062561035156,54.142494201660156,-138.23899079,51,0.001,38231,746
196,213.14,38961,-189.43630981445312,53.372962951660156,-141.47532908000002,51,0.001,39062,762
200,209.99,39766,-210.6542510986328,82.6905288696289,-145.10160608,51,0.001,39867,778
204,215.28,40919,-201.13864135742188,40.099422454833984,-145.01529224,50,0.001,41020,807
208,221.08,41956,-200.8391571044922,54.481101989746094,-142.68737925000002,50,0.001,42057,827
212,221.47,42561,-211.93276977539062,411.713623046875,-149.34517526000002,50,0.001,42662,839
216,223.44,43337,-219.36734008789062,51.29457092285156,-155.23930751999998,50,0.001,43438,854
220,216.87,43957,-214.7062530517578,122.45365905761719,-156.21731498,50,0.001,44058,866
224,225.96,45277,-221.1387481689453,122.19945526123047,-150.74817735,50,0.001,45378,891
228,217.17,45982,-220.866943359375,526.86962890625,-151.82444231,50,0.001,46083,905
232,219.06,46800,-236.8915252685547,44.67668914794922,-150.26147393000002,50,0.001,46901,921
236,217.46,47349,-234.9992218017578,57.605255126953125,-154.63071574,50,0.001,47450,932
240,209.91,47732,-239.31796264648438,118.9759750366211,-155.57013357000002,50,0.001,47833,940
244,220.06,49176,-266.2562255859375,442.8772888183594,-157.09997334000002,50,0.001,49277,968
248,219.88,49681,-247.12728881835938,221.76736450195312,-159.99657079999997,50,0.001,49782,978
252,209.88,50187,-261.1618347167969,647.64892578125,-165.04130183,50,0.001,50288,988
256,208.6,51057,-262.5001220703125,101.19597625732422,-171.89460391999998,50,0.001,51158,1006
260,205.02,51446,-271.568359375,109.51036071777344,-173.67953873999994,50,0.001,51547,1014
264,196.22,51892,-263.4425354003906,237.50157165527344,-167.37138027,50,0.001,51993,1023
268,195.15,52332,-275.55877685546875,87.64971160888672,-168.12228904,50,0.001,52433,1038
272,193.18,52792,-273.22528076171875,42.77595520019531,-175.20623609999998,50,0.001,52893,1053
