time/episodes,train/n_updates,rollout/exploration_rate,train/loss,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/learning_rate,rollout/ep_len_mean,time/total_timesteps
208,18788,0.9530250000000003,2.8964547514915466,55,-149.64083926,337,0.00063,88.48,18790
212,19124,0.9521850000000003,2.540182277560234,56,-144.88488683000003,337,0.00063,88.4,19126
216,19548,0.9511225,4.278018295764923,57,-142.86905724,337,0.00063,88.95,19551
220,19900,0.9502449999999998,2.0663703978061676,58,-138.68868218999998,337,0.00063,88.72,19902
224,20256,0.9493524999999999,4.105026841163635,60,-135.49486482,337,0.00063,88.68,20259
228,20504,0.9487300000000003,2.6137814819812775,60,-134.10797852000002,337,0.00063,87.48,20508
232,20888,0.9477724999999997,0.9885470420122147,61,-138.34394896000003,337,0.00063,88.36,20891
236,21272,0.9468175000000003,3.146064579486847,63,-135.75683624,337,0.00063,88.65,21273
240,21700,0.9457450000000003,4.36443629860878,64,-133.00782833999997,337,0.00063,89.38,21702
244,22096,0.9447574999999997,2.5958071053028107,65,-133.51882609,337,0.00063,90.22,22097
248,22500,0.9437399999999998,1.8402391076087952,66,-134.16159022,337,0.00063,90.77,22504
252,22864,0.94283,4.344110757112503,67,-137.35639477,337,0.00063,91.26,22868
256,23284,0.9417825000000002,2.4535521864891052,69,-135.41199088,337,0.00063,92.62,23287
260,23696,0.9407499999999999,2.654626429080963,70,-135.18481441,337,0.00063,92.63,23700
