time/episodes,train/loss,time/time_elapsed,rollout/ep_rew_mean,rollout/exploration_rate,train/learning_rate,time/fps,time/total_timesteps,rollout/ep_len_mean,train/n_updates
148,2.0909290313720703,15,-163.10026560999998,0.7561666666666671,0.0001,1007,15400,108.3,3824
152,0.6922096610069275,15,-158.54966983999998,0.7470941666666668,0.0001,1006,15973,109.92,3968
156,0.47056376934051514,16,-160.80351987999998,0.7386708333333332,0.0001,1005,16505,111.92,4101
160,0.4987732768058777,16,-160.03055593999997,0.7315933333333332,0.0001,1004,16952,112.95,4212
164,2.8233530521392822,18,-150.66237332999998,0.7096958333333332,0.0001,1001,18335,122.63,4558
168,4.539949417114258,18,-153.18479031,0.7015575000000003,0.0001,999,18849,123.96,4687
172,0.3083873689174652,19,-154.62847094999998,0.6938941666666663,0.0001,998,19333,124.26,4808
176,0.3517014980316162,19,-151.30899288,0.685043333333333,0.0001,997,19892,125.23,4947
180,0.9294645190238953,20,-147.36236423,0.6769208333333336,0.0001,996,20405,126.53,5076
184,0.8685189485549927,21,-144.69715382,0.6686875000000001,0.0001,995,20925,126.98,5206
188,0.9589012265205383,21,-140.06982720999997,0.6611824999999996,0.0001,993,21399,128.11,5324
192,2.9378879070281982,22,-135.21346004999998,0.6529808333333329,0.0001,993,21917,128.48,5454
196,0.7760299444198608,22,-136.15851031,0.6446841666666667,0.0001,992,22441,128.98,5585
200,0.4946857690811157,23,-135.42092327,0.636625,0.0001,991,22950,130.74,5712
204,0.6947363018989563,24,-131.49380302,0.6153133333333329,0.0001,988,24296,139.34,6048
208,1.0862281322479248,25,-129.94882548,0.6070008333333333,0.0001,987,24821,139.57,6180
212,0.5649805665016174,25,-128.73056011,0.5992900000000001,0.0001,986,25308,140.06,6301
216,0.7146701216697693,26,-126.06492165,0.591515833333333,0.0001,985,25799,140.74,6424
220,3.552647113800049,26,-125.99759499,0.5822058333333333,0.0001,984,26387,142.61,6571
224,3.7751412391662598,27,-125.03857487,0.5664358333333334,0.0001,981,27383,148.0,6820
228,4.257414817810059,28,-122.87455232999999,0.5561283333333333,0.0001,980,28034,150.27,6983
232,3.882765531539917,29,-124.81976931999999,0.5455358333333336,0.0001,979,28703,152.15,7150
236,2.3111164569854736,29,-119.37387933,0.5356875000000001,0.0001,978,29325,153.7,7306
240,1.1117388010025024,30,-118.08888477000002,0.521675,0.0001,977,30210,157.66,7527
244,0.5112501382827759,31,-118.25517726,0.5110349999999999,0.0001,976,30882,159.8,7695
248,0.8158649206161499,33,-119.81566701,0.48440333333333385,0.0001,972,32564,171.64,8115
252,3.6269164085388184,35,-116.38976133999999,0.45473166666666687,0.0001,968,34438,184.65,8584
256,0.9477516412734985,36,-112.20211117999999,0.4413683333333335,0.0001,965,35282,187.77,8795
