train/n_updates,time/fps,time/time_elapsed,train/learning_rate,time/episodes,time/total_timesteps,train/loss,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean
71001,818,347,0.0001,536,284107,0.8979892730712891,0.05,-62.42017643000001,1000.0
72001,818,352,0.0001,540,288107,9.169001579284668,0.05,-61.12701845000001,1000.0
73001,817,357,0.0001,544,292107,0.4335264563560486,0.05,-60.23154030999999,1000.0
73876,817,361,0.0001,548,295606,0.5353330969810486,0.05,-54.95773714,994.99
74824,817,366,0.0001,552,299397,0.31921982765197754,0.05,-54.74472688999998,992.9
75824,817,371,0.0001,556,303397,0.46434056758880615,0.05,-52.46679249999999,992.9
76793,817,376,0.0001,560,307275,3.2230324745178223,0.05,-49.52920519000001,991.68
77717,817,380,0.0001,564,310970,0.3842356503009796,0.05,-48.409901469999994,988.63
78456,816,384,0.0001,568,313926,0.25844618678092957,0.05,-46.58959057000001,978.19
79165,816,387,0.0001,572,316762,0.41182440519332886,0.05,-40.23391727999999,966.55
79882,816,391,0.0001,576,319629,2.371426820755005,0.05,-37.623251259999996,955.22
80756,816,395,0.0001,580,323127,0.35527580976486206,0.05,-34.32584484,950.2
81659,816,400,0.0001,584,326739,0.30035510659217834,0.05,-29.500978030000002,946.32
82502,816,404,0.0001,588,330109,0.3578437566757202,0.05,-30.914582449999997,940.02
83068,815,407,0.0001,592,332373,0.33487194776535034,0.05,-20.5626291,922.66
83909,815,411,0.0001,596,335740,0.23280075192451477,0.05,-15.576464780000002,916.33
84624,815,415,0.0001,600,338600,0.4703858494758606,0.05,-10.521037969999998,904.93
85478,815,419,0.0001,604,342013,0.3278728425502777,0.05,-7.614654939999998,899.06
86261,815,423,0.0001,608,345145,0.1800212562084198,0.05,-2.7854635200000013,890.38
86829,815,426,0.0001,612,347419,0.3666750192642212,0.05,7.137955940000001,873.12
87560,815,429,0.0001,616,350343,0.4932083487510681,0.05,9.332538529999999,862.36
88560,814,434,0.0001,620,354343,0.7782067060470581,0.05,10.70337671,862.36
89552,814,439,0.0001,624,358311,0.2264135777950287,0.05,9.92145017,862.04
90302,814,443,0.0001,628,361309,0.4504520893096924,0.05,14.88114043,852.02
90929,814,446,0.0001,632,363817,0.2697232961654663,0.05,19.21933888,837.1
91789,814,450,0.0001,636,367257,0.34898480772972107,0.05,22.417247109999998,831.5
92417,814,454,0.0001,640,369769,0.3634169101715088,0.05,24.14766584,816.62
92868,814,456,0.0001,644,371573,0.5951116681098938,0.05,33.089891200000004,794.66
93402,814,459,0.0001,648,373709,0.36178359389305115,0.05,34.087161130000005,781.03
93985,814,461,0.0001,652,376043,1.1919467449188232,0.05,43.23165955,766.46
94764,814,465,0.0001,656,379158,0.17282769083976746,0.05,45.288092070000005,757.61
95267,813,468,0.0001,660,381170,0.2952452301979065,0.05,55.28705495,738.95
95665,813,470,0.0001,664,382761,0.43337979912757874,0.05,55.37341566,717.91
96371,813,473,0.0001,668,385586,0.24275290966033936,0.05,54.53212498999999,716.6
96655,813,475,0.0001,672,386722,0.47248101234436035,0.05,49.71952055,699.6
97463,813,479,0.0001,676,389954,0.2742781937122345,0.05,47.371044989999994,703.25
98072,813,482,0.0001,680,392390,0.27671343088150024,0.05,50.594208759999994,692.63
98648,813,485,0.0001,684,394696,0.34842756390571594,0.05,55.08721766000001,679.57
99222,813,488,0.0001,688,396989,1.213937759399414,0.05,56.238004489999994,668.8
99910,813,491,0.0001,692,399743,0.4119378626346588,0.05,47.048169310000006,673.7
100374,813,493,0.0001,696,401598,0.31269553303718567,0.05,48.04640285000001,658.58
101205,813,497,0.0001,700,404922,0.30591338872909546,0.05,46.420816159999994,663.22
102205,813,502,0.0001,704,408922,0.37424522638320923,0.05,46.034652189999996,669.09
102760,812,505,0.0001,708,411144,0.36254626512527466,0.05,43.92216122,659.99
103431,812,509,0.0001,712,413827,0.37560901045799255,0.05,37.38925629000001,664.08
104054,812,512,0.0001,716,416317,0.5808680653572083,0.05,34.71096002,659.74
104716,812,515,0.0001,720,418968,0.8056171536445618,0.05,36.706939860000006,646.25
105419,812,519,0.0001,724,421777,0.26008930802345276,0.05,38.30836862000001,634.66
106135,812,522,0.0001,728,424642,0.3651444613933563,0.05,35.705432090000016,633.33
106765,812,525,0.0001,732,427164,0.30020639300346375,0.05,31.059452560000008,633.47
107603,812,530,0.0001,736,430514,0.271182119846344,0.05,29.42087636000001,632.57
108242,812,533,0.0001,740,433072,0.4398408532142639,0.05,28.682123690000005,633.03
108871,812,536,0.0001,744,435585,0.45513254404067993,0.05,20.353351090000004,640.12
109233,812,538,0.0001,748,437035,0.2728400230407715,0.05,22.27045117,633.26
109788,811,540,0.0001,752,439253,1.0847748517990112,0.05,18.49351833,632.1
110783,811,545,0.0001,756,443233,0.5884661674499512,0.05,18.136798289999998,640.75
111380,811,548,0.0001,760,445624,0.414540559053421,0.05,11.980117020000002,644.54
111859,811,551,0.0001,764,447540,0.29921096563339233,0.05,13.369431880000002,647.79
112460,811,554,0.0001,768,449943,1.066681146621704,0.05,17.71124473,643.57
112916,811,556,0.0001,772,451767,0.28603148460388184,0.05,18.10720257,650.45
113774,811,560,0.0001,776,455198,0.342899888753891,0.05,22.44947341,652.44
114569,811,564,0.0001,780,458380,0.23762549459934235,0.05,22.818686770000003,659.9
115151,811,567,0.0001,784,460706,0.19856058061122894,0.05,19.74186311,660.1
116007,811,571,0.0001,788,464129,0.2351776510477066,0.05,21.425102490000004,671.4
116646,811,574,0.0001,792,466688,0.23126430809497833,0.05,21.267111410000002,669.45
117345,811,578,0.0001,796,469482,0.20201928913593292,0.05,19.17661889,678.84
118076,811,581,0.0001,800,472407,0.22156783938407898,0.05,18.66627273,674.85
119076,811,586,0.0001,804,476407,0.3466642498970032,0.05,18.21061989,674.85
119704,811,590,0.0001,808,478919,0.4521780014038086,0.05,16.68851232,677.75
120352,811,593,0.0001,812,481511,0.2672310173511505,0.05,18.197930879999998,676.84
120841,811,595,0.0001,816,483467,0.24554303288459778,0.05,26.21687908,671.5
121357,811,598,0.0001,820,485530,0.3446092903614044,0.05,27.907182580000004,665.62
121915,811,601,0.0001,824,487762,0.3829491436481476,0.05,31.562599930000005,659.85
122526,811,604,0.0001,828,490208,0.29080209136009216,0.05,36.067376610000004,655.66
123231,811,607,0.0001,832,493026,0.35367351770401,0.05,38.14495599999999,658.62
123757,811,610,0.0001,836,495129,0.3679492771625519,0.05,36.67091647999999,646.15
124757,811,615,0.0001,840,499129,0.22395357489585876,0.05,38.02814471,660.57
125369,811,618,0.0001,844,501577,0.35243433713912964,0.05,42.916761720000004,659.92
125880,811,620,0.0001,848,503624,1.7122492790222168,0.05,43.36000148,665.89
