time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/learning_rate,time/episodes,time/fps,train/n_updates
548166,0.05,959.37,643,-20.936820300000004,0.8854542970657349,0.0001,1180,851,137016
552166,0.05,959.37,648,-20.76111483,1.5663901567459106,0.0001,1184,851,138016
555902,0.05,956.73,652,-22.041348050000007,0.25490930676460266,0.0001,1188,851,138950
559902,0.05,956.73,657,-22.835286620000005,0.4185329079627991,0.0001,1192,851,139950
563902,0.05,956.73,662,-22.708859120000007,0.5179800987243652,0.0001,1196,851,140950
567902,0.05,956.73,667,-23.00731178000001,0.7960034012794495,0.0001,1200,851,141950
571902,0.05,956.73,671,-23.650920610000004,0.4116411805152893,0.0001,1204,851,142950
575393,0.05,951.64,676,-24.380450859999996,0.7377232313156128,0.0001,1208,851,143823
579393,0.05,958.95,680,-23.474706579999996,0.2785470187664032,0.0001,1212,850,144823
583393,0.05,958.95,685,-23.885752229999998,1.319267988204956,0.0001,1216,850,145823
587393,0.05,958.95,691,-24.618748640000003,0.8647346496582031,0.0001,1220,849,146823
591393,0.05,958.95,697,-24.05401911,0.18121430277824402,0.0001,1224,848,147823
595393,0.05,958.95,702,-23.5449555,0.6525099873542786,0.0001,1228,848,148823
599393,0.05,958.95,706,-23.398036939999997,1.176192283630371,0.0001,1232,847,149823
603393,0.05,958.95,711,-23.70690235,0.8462830185890198,0.0001,1236,847,150823
