time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/learning_rate,time/episodes,time/fps,train/n_updates
29057,0.8159723333333337,103.06,28,-134.07675120000002,0.5437067151069641,0.0001,292,1020,7239
29533,0.8129576666666665,103.43,28,-134.36255093000003,0.47754019498825073,0.0001,296,1020,7358
29973,0.8101710000000005,103.98,29,-134.06067606999997,2.83194899559021,0.0001,300,1020,7468
30345,0.8078150000000003,103.32,29,-130.22306071,1.1026160717010498,0.0001,304,1019,7561
30749,0.8052563333333336,103.89,30,-131.62851537,0.6137068867683411,0.0001,308,1019,7662
31246,0.8021086666666667,105.54,30,-134.57238667000001,0.8061774969100952,0.0001,312,1019,7786
31745,0.7989483333333336,105.92,31,-136.01625163,1.0167531967163086,0.0001,316,1019,7911
32289,0.7955029999999996,106.78,31,-134.93298692,0.5576425790786743,0.0001,320,1019,8047
32722,0.7927606666666669,106.62,32,-134.95578658,0.5584143400192261,0.0001,324,1019,8155
33184,0.7898346666666671,107.63,32,-134.85359663,1.8739709854125977,0.0001,328,1019,8270
33636,0.786972,108.48,33,-135.12166392999998,1.6557385921478271,0.0001,332,1018,8383
33987,0.7847490000000005,107.64,33,-134.19992769,4.017902374267578,0.0001,336,1018,8471
34341,0.7825070000000003,106.77,33,-131.70074396,3.8815224170684814,0.0001,340,1018,8560
34701,0.7802270000000001,106.69,34,-130.08002817,0.7100139260292053,0.0001,344,1018,8650
35187,0.7771490000000002,107.73,34,-131.35480428,1.6196590662002563,0.0001,348,1017,8771
35572,0.7747106666666668,107.03,34,-133.06378576999998,0.817858099937439,0.0001,352,1017,8867
36006,0.7719619999999998,107.12,35,-134.2461865,0.45423245429992676,0.0001,356,1017,8976
36445,0.769181666666667,107.83,35,-134.44766798,0.5067542791366577,0.0001,360,1017,9086
36974,0.7658313333333336,109.01,36,-134.26525634,1.3904513120651245,0.0001,364,1016,9218
37459,0.762759666666667,109.39,36,-129.37893158,0.49866458773612976,0.0001,368,1016,9339
37774,0.7607646666666665,108.14,37,-128.03901191,0.3880922794342041,0.0001,372,1016,9418
38300,0.7574333333333337,108.26,37,-126.82809103999998,1.088678002357483,0.0001,376,1016,9549
38675,0.7550583333333329,108.86,38,-125.95489371999999,0.2869349718093872,0.0001,380,1016,9643
39105,0.7523349999999996,108.68,38,-126.07776317999998,0.8543090224266052,0.0001,384,1015,9751
39613,0.749117666666667,109.35,39,-125.61309919,0.570171594619751,0.0001,388,1015,9878
40045,0.7463816666666664,109.88,39,-125.86106991999999,1.4770511388778687,0.0001,392,1015,9986
40487,0.7435823333333331,109.54,39,-125.21503066000002,0.847005307674408,0.0001,396,1014,10096
